id,validado,similarity_score,encontrado_em_pdf,valor,source_text_resumido
contratacao_de_12_sentenciados_junto_a_funap_00_v2,True,100,DODF 195 11-10-2019 INTEGRA.pdf,"R$ 286.696,80","EXTRATO DE CONTRATO DE PRESTACAO DE SERVICOS No 01/2016,
NOS TERMOS DO PADRAO No 05/2002
Processo: 3..."
projeto_brb_stand_up_brasilia_00_v2,True,100,DODF 195 11-10-2019 INTEGRA.pdf,"R$ 40.000,00","EXTRATO DE CONTRATO
O BRB - Banco de Brasilia S.A. torna publica a celebracao do contrato de patroci..."
projeto_gente_que_inspira_00_v2,True,100,DODF 207 30-10-2019 INTEGRA.pdf,"R$ 120.000,00","EXTRATO DE CONTRATO
A BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A. torna publica a celebracao do..."
aquisicao_de_74_pneus_para_motocicleta_dimensoes_130_80r17_00_v2,True,100,DODF 224 26-11-2019 INTEGRA.pdf,"R$ 13.570,86","EXTRATO DO CONTRATO No 70/20I9
Processo: 00054.00048974/2018-12. Partes: DF/PMDF X PARTS LUB DISTRIB..."
aquisicao_de_medidores_00_v2,True,100,DODF 226 28-11-2019 INTEGRA.pdf,"R$ 119.000,00","EXTRATOS DE CONTRATO
Especie: Contrato no 781 /2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao..."
contratacao_de_servicos_obras_de_implantacao_da_subestacao_0_00_v2,True,100,DODF 226 28-11-2019 INTEGRA.pdf,"R$ 11.530.286,18","Especie: Contrato no 794 /2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e
BSBLUX ENGENH..."
projeto_premio_nacional_de_educacao_fiscal_2019_00_v2,True,100,DODF 226 28-11-2019 INTEGRA.pdf,"R$ 35.000,00","EXTRATO DE CONTRATO
O BRB - Banco de Brasilia S.A. torna publica a celebracao do contrato de patroci..."
brasilia_saa_qd_01_lt_225_e_235_00_v2,True,100,DODF 029 09-02-2018 INTEGRA.pdf,"R$ 1.721.400,00","EXTRATO DE INSTRUMENTO CONTRATUAL
PROCESSO: 160.000752/1989; ESPECIE: Contrato de Concessao de Direi..."
aquisicao_de_transformadores_00_v2,True,100,DODF 193 09-10-2019 INTEGRA.pdf,"R$ 483.160,24","EXTRATO DE CONTRATO
Especie: Contrato no 774/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S..."
projeto_debandando_nas_feiras_00_v2,True,100,DODF 109 11-06-2019 INTEGRA.pdf,"R$ 50.000,00","EXTRATO DE CONTRATO
O BRB - Banco de Brasilia S.A. torna publica a celebracao do contrato de patroci..."
projeto_52o_festival_de_brasilia_do_cinema_00_v2,True,100,DODF 242 20-12-2019 INTEGRA.pdf,"R$ 100.000,00","EXTRATO DE CONTRATO
A BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A. torna publica a celebracao do..."
projeto_4o_desafio_nacional_de_salvamento_veicular_e_trauma_00_v2,True,100,DODF 244 24-12-2019 INTEGRA.pdf,"R$ 15.000,00","EXTRATO DE CONTRATO
O BRB - Banco de Brasilia S.A. torna publica a celebracao do contrato de patroci..."
aquisicao_de_2_dois_aparelhos_de_ultrassonografia_00_v2,True,100,DODF 244 24-12-2019 INTEGRA.pdf,"R$ 460.000,00","EXTRATO DO CONTRATO No 73/2019
AQUISICAO DE BENS
Processo: 00053-00067614/2019-29. Partes: CBMDF X G..."
prestacao_de_servico_publico_de_energia_eletrica_00_v2,True,100,DODF 071 15-04-2019 INTEGRA.pdf,"R$ 200.000,00","EXTRATO DO CONTRATO No 38855/2019 - SDE/DF
Processo: 00370-00000309/2019-28. Das Partes: SECRETARIA ..."
prestacao_de_servico_de_transporte_de_servidores_para_as_uni_00_v2,True,100,DODF 071 15-04-2019 INTEGRA.pdf,"R$ 1.047.300,48","EXTRATO DE CONTRATO No 27/2019
PROCESSO: 00113-00001155/2019-13, CONTRATANTE: DEPARTAMENTO DE ESTRAD..."
aquisicao_de_isolador_de_ancoragem_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 75.950,00","Especie: Contrato no 715/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Maurizio
& C..."
aquisicao_de_grampos_de_ancoragem_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 72.240,00","Especie: Contrato no 716/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Fenix
Acesso..."
aquisicao_de_elos_fusiveis_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 23.833,75","Especie: Contrato no 712/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fio..."
aquisicao_de_alcas_preformadas_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 18.285,00","EXTRATOS DE CONTRATO
Especie: Contrato no 699/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao ..."
aquisicao_de_para_raios_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 199.050,00","Especie: Contrato no 702/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Industria
El..."
aquisicao_de_conector_terminal_compressao_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 34.494,25","Especie: Contrato no 704/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a KRJ
Industri..."
aquisicao_de_cabos_de_aluminio_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 83.040,00","Especie: Contrato no 708/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fio..."
aquisicao_de_emendas_polimericas_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 87.154,00","Especie: Contrato no 709/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fio..."
aquisicao_de_conectores_tipo_parafuso_00_v2,True,100,DODF 094 21-05-2019 INTEGRA.pdf,"R$ 21.666,40","Especie: Contrato no 710/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fio..."
aquisição_de_computadores_e_monitores_00_v2,True,100,DODF 236 20-12-2021 INTEGRA.pdf,"R$ 191.087,28","EXTRATO DO CONTRATO BRB Nº 266/2021 (*)
Contratada: GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA. Mod..."
aquisição_computadores_00_v2,True,100,DODF 236 20-12-2021 INTEGRA.pdf,"R$ 71.414,00","EXTRATO DO CONTRATO BRB Nº 267/2021 (*)
Contratada: GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA. Mod..."
consultoria_tributária_00_v2,True,100,DODF 245 27-12-2018 INTEGRA.pdf,"R$ 45.000,00","EXTRATO DE CONTRATO Nº 27/2021
Processo: 357/2021; Fornecedor: CAMARGOS CONTADORES SERVIÇOS CONTÁBEI..."
locação_sede_da_brb_serviços_00_v2,True,100,DODF 011 17-01-2022 INTEGRA.pdf,"R$ 300.000,00","EXTRATO DE CONTRATO Nº 30/2021
Processo: 473/2021; Fornecedor: STYLOS ENGENHARIA S/A; CNPJ: 38.056.0..."
contratação_de_empresa_especializada_para_executar_suporte_e_00_v2,True,100,DODF 233 15-12-2021 INTEGRA.pdf,"R$ 330.000,00","EXTRATO DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS Nº 43/2021 - FSPDF-SSP, NOS TERMOS DO PADRÃO Nº 06/2002..."
o_contrato_de_empresa_especializada_para_executar_serviço_de_00_v2,True,100,DODF 233 15-12-2021 INTEGRA.pdf,"R$ 1.958.223,87","EXTRATO DO CONTRATO DE PRESTAÇÃO DE SERVIÇOS Nº 44/2021 - FSPDF-SSP, NOS TERMOS DO PADRÃO Nº 03/2002..."
aquisição_de_72_setenta_e_dois_aparelhos_de_ar_condicionado_00_v2,True,100,DODF 233 15-12-2021 INTEGRA.pdf,"R$ 219.098,00","EXTRATO DO CONTRATO DE AQUISIÇÃO DE BENS Nº 23/2021
Partes: DETRAN-DF e a ALMIX COMÉRCIO DE SUPLEMEN..."
prestação_de_serviços_técnicos_de_desenvolvimento_e_manutenç_00_v2,True,100,DODF 233 15-12-2021 INTEGRA.pdf,"R$ 1.529.998,80","EXTRATO DO CONTRATO Nº 45261/2021
Processo: 00431-00009540/2019-51. DAS PARTES: SECRETARIA DE ESTADO..."
