id,is_correct,question,ground_truth_answer,generated_answer,retrieved_contexts
P001,False,Quais devem ser os criterios de atuação dos servidores da CMPDF?,"Procedimento de
Distribuição de Turmas/Carga Horária e Atribuição de Atendimentos/Atuação e ser
registrada no SIGEP pela equipe gestora",os critérios de atuação dos servidores da CMPDF estão previstos na Portaria que dispõe sobre os critérios referentes à atuação dos servidores integrantes da CMPDF.,"[""termos da Portaria que dispõe sobre os critérios referentes à atuação dos servidores\nintegrantes da CMPDF, deve ser realizada anteriormente ao Procedimento de\nDistribuição de Turmas/Carga Horária e Atribuição de Atendimentos/Atuação e ser"", ""conforme previsto na Portaria que dispõe sobre os critérios referentes à atuação dos\nservidores integrantes da CMPDF;\nVIII - os quadros de atuações destinados aos servidores readaptados e PcDs, com adequação\nexpressa para não regência."", ""própria, montará grades de atuação de todos os servidores da UE/UEE/ENE destinando-se ao\nseu suprimento por profissionais, atendendo ao disposto na Portaria que dispõe sobre os\ncritérios referentes à atuação dos servidores integrantes da CMPDF."", ""obrigatoriamente, completada conforme previsto nos artigos 7º e 8º, do Capítulo I da Portaria\nque dispõe sobre os critérios referentes à atuação dos servidores integrantes da CMPDF."", ""artigo 5º desta Portaria as grades de atuação montadas na pré-modulação.\n§ 2º A equipe gestora deve cumprir o determinado no Capítulo I da Portaria, que dispõe\nsobre os critérios referentes à atuação dos servidores integrantes da CMPDF, no Capítulo I""]"
P002,False,o que eu preciso para ser um educador social voluntário?,"I - graduados em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; II - estudantes universitários em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; III - estudantes da Educação de Jovens e Adultos, 3º segmento (EJA); IV - estudantes do Ensino Médio (EM) ou da Educação Profissional (EP), desde que atendam aos requisitos previstos no caput; V - pessoa com formação em Ensino Médio ou Educação Profissional (EP), com comprovação de conclusão; VI - experiência comprovada na área de educação especial e/ou saúde; VII - experiência comprovada na realização de oficinas lúdico-recreativas. § 1º A comprovação de que tratam os incisos I, II, III, IV, V, VI, VII será conforme critérios estabelecidos no formulário Análise Curricular dos Critérios de Seleção e Classificação, contido no Anexo I desta Portaria. § 2º Para comprovação do item 6 do formulário Análise Curricular dos Critérios de Seleção e Classificação, deverão ser anexados comprovante de inscrição nos referidos programas e/ou projetos e comprovante de matrícula do estudante na SEEDF. § 3º Os gestores das UEs ou CREs ficam terminantemente proibidos de selecionarem parentes, até o 2º grau, em suas respectivas unidades. § 4º O ESV que tenha filho(a) atendido(a) em uma UE da Rede Pública de Ensino do Distrito Federal deverá se candidatar para atuar em Unidades Escolares diferentes daquela em que o(a) filho(a) está matriculado(a). § 5º O ESV não poderá ter qualquer vínculo trabalhista com a Administração Pública, enquanto participar do Programa.",Ter idade mínima de 18 anos.,"[""Coordenação Regional de Ensino: _____________________________________________\nFunção: Educador Social Voluntário\n \nPrezados Senhores,\n \nVenho por meio deste, solicitar\n__________________________________________________________________________"", ""orientação e supervisão dos profissionais arrolados na Portaria que institui o Programa\nEducador Social Voluntário, as atividades descritas na referida Portaria conforme as áreas\nde atuação a seguir:"", ""CAPÍTULO IV\nDOS CRITÉRIOS DE SELEÇÃO\nArt. 14. O Programa Educador Social Voluntário seleciona candidatos com idade mínima\nde dezoito anos que atendam a uma das seguintes exigências:"", ""Art. 1º Estabelece o Programa Educador Social Voluntário, no âmbito da Secretaria de\nEstado de Educação do Distrito Federal para o ano letivo de 2022.\nArt. 2º A atuação do Educador Social Voluntário (ESV) é considerada de natureza"", ""Social Voluntário, bem como o quantitativo de estudantes atendidos e vagas para cada UE.\nArt. 12. Fica autorizada a movimentação dos ESVs dentro da modulação prevista pela\nCRE, com o apoio da UNIEB, mediante justificativa.""]"
P003,False,Quanto foi o valor total do contrato de adesão da adeleide?,"R$ 1.069.698,90",Informação não disponível no contexto.,"[""de 28/07/2015 . - V ALOR: O valor estimado anual do presente contrato é de R$ 246.000,00 (Duzentos\ne quarenta e seis mil reais). - VIGÊNCIA: 60 (sessenta) meses. - DATA DA ASSINATURA: 11/12/2018."", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo"", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo"", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo"", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo""]"
P004,False,qual valor de contrato do processo 001.000947/2017?,"R$ 2.044.997,88",Informação não disponível no contexto.,"[""EXTRATO DO 1º TERMO ADITIVO AO CONTRATO Nº 02/2018\nProcesso: 00480.00005185/2017-21. Partes: DF/CGDF X EXPRESSO SERVIÇO MÁQUINAS E\nSERVIÇOS LTDA. Objeto: prorrogar o prazo de vigência do contrato por mais 12 \nmeses e resguardar o"", ""País. Vigência: 30 meses a partir da assinatura. Valor do Contrato: R$ 700.0\n00,00 (setecentos mil reais).\nAssinatura do Contrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario"", ""bem como considerando a instrução do processo 00370-00002237/2019-53, resolve:\nArt. 1º Designar VALÉRIA BIANCA NAZÁRIO DA SILVA LIMA, matrícula nº 280.012-8\npara atuar como Gestora do Contrato 43.909/2021 em substituição ao servidor Lucas Mendes"", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo"", ""meses a partir da assinatura. Valor do Contrato: R$ 700.000,00 (setecentos mil reais). Assinatura do\nContrato: 11/01/2019. Licitação: Credenciamento nº 002/2018. Signatário pelo BRB: Dario Oswaldo""]"
P005,False,qual foi o gasto total na compra dos caminhões hidrobasket?,"R$ 497.998,00","R$ 1.800.000,00","[""EXTRATO DE CONTRATO\nCONTRATO Nº 8867. ASSINATURA: 07/02/2018. PROCESSO Nº 092.003002/2017. PE nº\n161/2017 - CAESB. OBJETO: Aquisição de 2 (dois) veículos do tipo caminhão hidrobasket\n(item 01). DOTAÇÃO ORÇAMENTÁRIA: UO: 22.202; PROGRAMA DE TRABALHO:"", ""aplicada no valor R$ 726,00 (setecentos e vinte e seis reais).\nNotificado: ALDAIR FERREIRA DE SOUSA, CPF/CNPJ nº 224.404.881-00, autuado pelo Processo\nAdministrativo nº 2017/002920, \""Lançamento de esgotos em galerias de águas pluviais\"", data da autuação:"", ""CAMINHÕES LTDA: Adriana do Carmo de Sousa.\nCONTRATO Nº 8868. ASSINATURA: 07/02/2018. PROCESSO Nº\n092.003002/2017. PE nº 161/2017 - CAESB. OBJETO: Aquisição de 2 (dois)\nveículos do tipo caminhão hidrobasket (item 02). DOTAÇÃO ORÇAMENTÁRIA:"", ""17.122.6001.8517/6977-33.90.39, FONTE DE RECURSOS: próprios da CAESB, C\nÓDIGO\n11.101.000.000-3. UG: 190.206. GESTÃO: 19.206. EMPENHO N° 39/2018 (processo de origem nº\n092.009808/2006), DATADO DE: 11/01/2018. V ALOR DO EMPENHO: R$ 1.800.000,00 (um milhão e"", ""aplicada no valor R$ 572,00 (quinhentos e setenta e dois reais).\nNotificado: V ALDIMIRA CARDOSO VIEIRA, CPF/CNPJ nº 66509149168, autuado p\nelo Processo\nAdministrativo nº 2017/005826, \""Retirada ou inversão de hidrômetros\"", data da autuação: 09/03/2017,""]"
P006,False,qual foi o valor da operacionalização do convênio com o TSE?,"R$ 103.860,00","R$ 534.281,00","[""Informações Operacionais do Centro de Controle Operacional da Companhia, pelo valor\nglobal de R$534.281,00 (quinhentos e trinta e quatro mil, duzentos e oitenta e um reais), cujo"", ""sa Zetrasoft Ltda para\noperacionalização do convênio com o Tribunal Superior Eleitoral. Fundamento Legal: Lei 13.303/16, art.\n30. Valor estimado total: R$ 103.860,00 (cento e três mil, oitocentos e sessenta reais). Contrato com"", ""de Ressarcimento por voluntário para a CRE, devendo constar na prestação de contas da\nUEx da CRE.\nArt. 24. O ESV não fará jus ao ressarcimento do valor correspondente ao dia do não"", ""valor, do Contrato nº 159/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""soldo integral correspondente ao seu posto nos termos do artigo 20, § 1.º, in\nciso I e § 4º da Lei n.º\n10.486, de 4 de julho de 2002; e, em consequência, desligá-lo da Organização de Bombeiro-Militar\na que pertence. Processo: 00053-00000955/2019-14.""]"
P007,False,quanto foi gasto para aumentar a segurança no transito no DF?,"R$ 4.990.317,84",Informação não disponível no contexto.,"[""Segurança Pública do Distrito Federal, Símbolo DFG-12, no período de 01/01/2019 a 30/01/2019, em\nvirtude de férias regulamentares.\nDESIGNAR CELMA GONÇALVES DE OLIVEIRA LIMA, matrícula 106.904-7, para substituir o"", ""Segurança Pública do Distrito Federal, Símbolo DFG-12, no período de 09/01/2019 a 18/01/2019, em\nvirtude de férias regulamentares.\nDESIGNAR TEREZA CRISTINA DA MOTA E SOUZA, Agente Policial de Custódia, matrícula"", ""com transporte e alimentação, decorrentes de sua atuação, no valor de R$30,00 (trinta\nreais), de acordo com § 1º do art. 9º do Decreto nº 37.010, de 2015, correspondente aos\ndias de atuação de segunda a sexta-feira, em dias letivos presenciais."", ""pótese prevista no Inciso V;\nR$ 364,45\nIX Multa para o transportador que não parar nos postos fixosou móveis de fiscalização sanitária do SVO/DF; R$ 364,45"", ""Segurança Pública do Distrito Federal, Símbolo DFG-12, no período de 23/01/2019 a 01/02/2019, em\nvirtude de férias regulamentares.\nDESIGNAR ROSANA MARINHO PESSOA, Agente de Atividades Penitenciárias, matrícula 176.076-""]"
P008,False,quando foi assinado contratação das maquinas da bobcat?,10/01/2019,Informação não disponível no contexto.,"[""manutenção de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e\naplicação de peças genuínas, conforme especificações e quantitativos con\nstantes do Termo de Referência,"", ""conhecimento de quem possa interessar que até o dia 26/02/2018 às 18:00 horas, estará\nrecebendo propostas relativas ao Chamamento n° 042/2018, cujo objeto é a contratação de"", ""valor, do Contrato nº 157/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""valor, do Contrato nº 159/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""valor, do Contrato nº 158/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação""]"
P009,False,quanto foi gasto na contratação das maquinas da bobcat?,"R$ 279.300,00",Informação não disponível no contexto.,"[""manutenção de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e\naplicação de peças genuínas, conforme especificações e quantitativos con\nstantes do Termo de Referência,"", ""valor, do Contrato nº 159/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""valor, do Contrato nº 157/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""valor, do Contrato nº 158/2017, cujo objeto é a contratação de empresa especializada no ramo de\nengenharia, para prestação de serviços de manutenção e conservação de gramado e vegetação"", ""do Contrato nº 161/2017, cujo objeto é a contratação de empresa especializada no ramo de engenharia,\npara prestação de serviços de manutenção e conservação de gramado e vegetação espontânea das áreas""]"
P010,False,"existe algum processo,se sim, me informe. Qual o numero, sobre promover a educação ambiental no zoologico?",00410-00004508/2018-00,"Instrução Normativa Nº 05, DE 26 DE JANEIRO DE 2022.","[""educação e pesquisa da fauna, o que contribui para preservação de animais ameaçados de extinção. Nestes\ntermos, prezando pela legalidade, educação cidadã e bem-estar coletivo é q\nue tem como ferramenta"", ""licenciamento ambiental do empreendimento de origem.\nParágrafo Único. Quando devidamente motivado, poderão ser solicitadas correções, tendo em\nvista o enquadramento de Complexidade do Estudo de Fauna e o Termo de Referência"", ""apresentar, juntamente com a documentação prevista para o Licenciamento Ambiental e\nASV, a seguinte documentação referente à fauna, conforme o caso:\nI - Se o estudo for dispensável com base nos Arts. 8, 10 e 11: apresentar declaração,"", ""INSTRUÇÃO NORMATIVA Nº 05, DE 26 DE JANEIRO DE 2022\nEstabelece os procedimentos para os estudos de fauna no âmbito do Licenciamento\nAmbiental e da Autorização para Supressão de Vegetação.\nO PRESIDENTE DO INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS"", ""licenciamento do empreendimento que motivou o Programa de Afugentamento, Resgate e\nDestinação de Fauna.\nCAPÍTULO X\nDA DOCUMENTAÇÃO PARA ESTUDOS, PROGRAMAS DE MONITORAMENTO E\nDE AFUGENTAMENTO""]"
