id,is_correct,question,ground_truth_answer,generated_answer,retrieved_contexts
prestacao_de_servicos_tecnicos_profissionais_especializados__00_v0,False,Qual é o custo total para a prestação de serviços técnicos especializados para a elaboração de projetos e estudos técnicos com modelagem em software BIM para o Centro de Assistência Social da PMDF?,"R$200.500,00",A informação solicitada não foi encontrada no contexto fornecido.,"[""Prestação de Serviços Técnicos Profissionais Especializados visando a ELABORAÇÃO DE\nPROJETOS e ESTUDOS TÉCNICOS com modelagem em software de tecnologia BIM (building\ninformation modeling), destinados à obra de construção do Centro de Assist"", ""supracitado, cujo objeto é Contratação de empresa do ramo de engenharia/arquitetura para\na prestação de Serviços Técnicos Profissionais Especializadosvisando a ELABORAÇÃO\nDE PROJETOS e ESTUDOS TÉCNICOS com modelagem em software BIM (building"", ""Especializados, visando a ELABORAÇÃO DE PROJETOS e ESTUDOS TÉCNICOS com modelagem em\nsoftware de tecnologia BIM (building information modeling), destinados à obra de construção do Centro"", ""implantação da metodologia BIM (Building Information Modeling - Modelagem de\nInformações da Construção) na COENG(Coordenação de Engenharia e Arquitetura) da\nSSPDF (Secretaria de Estado de Segurança Pública do Distrito Federal) VALOR"", ""Especializados visando a ELABORAÇÃO DE PROJETOS e ESTUDOS TÉCNICOS com modelagem em\nsoftware de tecnologia BIM (building information modeling), destinados à obra de construção da\nedificação-sede do 15º BPM da Polícia Militar do Distrito Federal, conform"", ""Avançado Sobre Projetos em BIM, com dotação orçamentária anual de R$ 66.440.000,00 (sessenta e seis\nmilhões quatrocentos e quarenta mil reais), UO: 73901 - FCDF, PT: 28.845.09 03.00NR.0053, Natureza da"", ""serviço, para os projetos na área de sua competência;\nIII - coordenar e, tecnicamente, analisar e habilitar, projetos de arquitetura desenvolvidos na coordenação\nou por meio de contratação na área de sua competência;"", ""serviço, para os projetos na área de sua competência;\nIII - coordenar e, tecnicamente, analisar e habilitar, projetos de arquitetura desenvolvidos na coordenação\nou por meio de contratação, na área de sua competência;"", ""serviço, para os projetos na área de sua competência;\nIII - coordenar e, tecnicamente, analisar e habilitar, projetos de arquitetura desenvolvidos na coordenação\nou por meio de contratação, na área de sua competência;"", ""empresa especializada em engenharia ou arquitetura para prestação de serviços técnicos de\nexecução da obra de reforma com ampliação do Centro Odontológico da PMDF, situado""]"
prestacao_de_servicos_tecnicos_profissionais_especializados__00_v1,False,Quanto será gasto com a contratação de serviços técnicos profissionais especializados para a criação de projetos e estudos técnicos em BIM para a construção do Centro de Assistência Social da PMDF?,"R$200.500,00",A informação solicitada não foi encontrada no contexto fornecido.,"[""Prestação de Serviços Técnicos Profissionais Especializados visando a ELABORAÇÃO DE\nPROJETOS e ESTUDOS TÉCNICOS com modelagem em software de tecnologia BIM (building\ninformation modeling), destinados à obra de construção do Centro de Assist"", ""supracitado, cujo objeto é Contratação de empresa do ramo de engenharia/arquitetura para\na prestação de Serviços Técnicos Profissionais Especializadosvisando a ELABORAÇÃO\nDE PROJETOS e ESTUDOS TÉCNICOS com modelagem em software BIM (building"", ""Contratação por escopo de serviços técnicos especializados\nnecessários ao parcelamento do solo urbano, envolvendo os\nestudos para o licenciamento ambiental e os projetos de\nurbanismo e sinalização de endereçamento."", ""que tem por objeto a contratação de serviços de elaboração de projetos técnicos visando a melhoria\nde SAA e SES - 1ª Etapa, para unidades que fazem parte do Programa de Saneamento Ambiental da"", ""Eletrônico n. 21/2019 - PMDF (Doc. SEI/GDF22393921), o qual tem como escopo a contratação de\nempresa do ramo de engenharia civil/arquitetura para a prestação de Serviços Técnicos Profissionais"", ""CONTRATADA, de serviços técnicos especializados de engenharia e arquitetura na elaboração de projetos,\norçamentos, cronogramas de obras e serviços de laudos técnicos em diversos locais do Distrito Federal - DF."", ""Contratação de empresa do ramo de engenharia/arquitetura para prestação de Serviços Técnicos\nProfissionais Especializados de assessoria técnica e elaboração de estudos técnicos, para produção de"", ""contratação de empresa especializada para aquisição e montagem de kits sis\ntemas estruturais\ndesenvolvidos pela equipe técnica da Companhia de Desenvolvimento Habitacional do Distrito"", ""serviço, para os projetos na área de sua competência;\nIII - coordenar e, tecnicamente, analisar e habilitar, projetos de arquitetura desenvolvidos na coordenação\nou por meio de contratação, na área de sua competência;"", ""serviço, para os projetos na área de sua competência;\nIII - coordenar e, tecnicamente, analisar e habilitar, projetos de arquitetura desenvolvidos na coordenação\nou por meio de contratação, na área de sua competência;""]"
prestacao_de_servicos_tecnicos_profissionais_especializados__00_v2,False,Qual é o valor total da proposta para a realização de serviços técnicos especializados em BIM visando à elaboração de projetos e estudos para o Centro de Assistência Social da PMDF?,"R$200.500,00","O valor total mencionado para a prestação de serviços técnicos especializados em BIM para o projeto em questão é de R$ 96.500,00 (noventa e seis mil e quinhentos reais).   Além disso, o contexto menciona um orçamento de R$ 66.440.000,00 (sessenta e seis milhões quatrocentos e quarenta mil reais) para a obra de construção do Centro de Assistência, mas não especifica se este valor está diretamente relacionado à proposta para os serviços técnicos especializados em BIM.  Também é mencionado um valor de R$ 12.000,00 (doze mil reais) para a implantação da metodologia BIM, que pode estar relacionado a outro aspecto do projeto.  O valor de R$ 96.500,00 parece ser o mais diretamente relacionado à pergunta sobre o valor total da proposta para a realização de serviços técnicos especializados em BIM.","[""Prestação de Serviços Técnicos Profissionais Especializados visando a ELABORAÇÃO DE\nPROJETOS e ESTUDOS TÉCNICOS com modelagem em software de tecnologia BIM (building\ninformation modeling), destinados à obra de construção do Centro de Assist"", ""Avançado Sobre Projetos em BIM, com dotação orçamentária anual de R$ 66.440.000,00 (sessenta e seis\nmilhões quatrocentos e quarenta mil reais), UO: 73901 - FCDF, PT: 28.845.09 03.00NR.0053, Natureza da"", ""PMDF, nos seguintes termos: Item 1 - Elaboração / Análise Projeto - Engenharia. Valor total R$ 96.500,00\n(noventa e seis mil e quinhentos reais). Adjudicados à empresa RICARDO A VP C\nOELHO -"", ""supracitado, cujo objeto é Contratação de empresa do ramo de engenharia/arquitetura para\na prestação de Serviços Técnicos Profissionais Especializadosvisando a ELABORAÇÃO\nDE PROJETOS e ESTUDOS TÉCNICOS com modelagem em software BIM (building"", ""implantação da metodologia BIM (Building Information Modeling - Modelagem de\nInformações da Construção) na COENG(Coordenação de Engenharia e Arquitetura) da\nSSPDF (Secretaria de Estado de Segurança Pública do Distrito Federal) VALOR"", ""Especializados, visando a ELABORAÇÃO DE PROJETOS e ESTUDOS TÉCNICOS com modelagem em\nsoftware de tecnologia BIM (building information modeling), destinados à obra de construção do Centro"", ""projeto e da infraestrutura o valor de R$ 12.000,00 (doze mil reais), para ch\negar a R$ 60.0000, 00\n(sessenta mil reais) que dá um comprometimento máximo de 30%, ficando R$540,00 (quinhentos e"", ""que atuarão no projeto – A análise deverá avaliar se os valores\nprevistos na planilha orçamentária do projeto para remuneração\ndos profissionais que irão exercer atividades técnicas, artístico-\nculturais, e de gestão demonstram equidade, razoabilidade e"", ""instituição deverá, portanto, desfazer as alterações nas quantidades e valores dos itens do plano de\naplicação do projeto para aqueles casos que extrapolam as correções solici tadas. Em relação ao item 2.3"", ""Especializados visando a ELABORAÇÃO DE PROJETOS e ESTUDOS TÉCNICOS com modelagem em\nsoftware de tecnologia BIM (building information modeling), destinados à obra de construção da\nedificação-sede do 15º BPM da Polícia Militar do Distrito Federal, conform""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v0,False,Qual é o custo total dos aparelhos de ar condicionado Split com Sistema Inverter que estão sendo adquiridos?,"R$60.000,00","O custo total dos aparelhos de ar condicionado Split com Sistema Inverter que estão sendo adquiridos é de R$ 108.365,00.","[""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""Inverter, para atender às necessidades da DF LEGAL.\nArt. 2º Os servidores de que trata o artigo 1º deverão observar o disposto nos\nartigos 66 e 67 da Lei nº 8.666, de 21 de junho de 1993, c/c o inciso II e § 5º do"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""o, com instalação simples,\ntipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saúde do Distrito Federal\n- SES/DF. Vigência: 120 (cento e vinte) dias, contados a partir da sua assinatura, permanecendo as"", ""tabelecer a forma e as condições para a execução da obra, referente ao Projeto/Orçamento\n2018-CEB-0580 nos termos da Resolução ANEEL nº 414/2010. DESCRIÇÃO DOS SER-\nVIÇOS: Instalação de um transformador de 75KV A e um transformador de 225KV A para o"", ""do Distrito Federal e a empresa ES Comércio de Eletrodomésticos LTDA, que tem por objeto a aquisição\nde material permanente (Aparelhos de Ar Condicionado, com instalação simp les, tipo Split com Sistema""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v1,False,Quanto será gasto com a compra e instalação dos aparelhos de ar condicionado do tipo Split com Sistema Inverter?,"R$60.000,00","O valor gasto com a compra e instalação dos aparelhos de ar condicionado do tipo Split com Sistema Inverter será de R$ 108.365,00.","[""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""13,8KV - 2,4MV AR PARA INSTALAÇÃO NA NOV A SE 08, CONFORME ESPECIFICAÇÃO\nTÉCNICA ET GRST. Abertura: 26/07/2019, às 10h. Prazo de vigência: 4 (quatro) meses. Prorrogação em"", ""o, com instalação simples,\ntipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saúde do Distrito Federal\n- SES/DF. Vigência: 120 (cento e vinte) dias, contados a partir da sua assinatura, permanecendo as"", ""tabelecer a forma e as condições para a execução da obra, referente ao Projeto/Orçamento\n2018-CEB-0580 nos termos da Resolução ANEEL nº 414/2010. DESCRIÇÃO DOS SER-\nVIÇOS: Instalação de um transformador de 75KV A e um transformador de 225KV A para o"", ""do Distrito Federal e a empresa ES Comércio de Eletrodomésticos LTDA, que tem por objeto a aquisição\nde material permanente (Aparelhos de Ar Condicionado, com instalação simp les, tipo Split com Sistema""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v2,False,Qual o valor orçado para a aquisição e instalação dos aparelhos de ar condicionado Split com tecnologia Inverter?,"R$60.000,00","O valor orçado para a aquisição e instalação dos aparelhos de ar condicionado Split com tecnologia Inverter é de R$ 108.365,00.","[""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""13,8KV - 2,4MV AR PARA INSTALAÇÃO NA NOV A SE 08, CONFORME ESPECIFICAÇÃO\nTÉCNICA ET GRST. Abertura: 26/07/2019, às 10h. Prazo de vigência: 4 (quatro) meses. Prorrogação em"", ""tabelecer a forma e as condições para a execução da obra, referente ao Projeto/Orçamento\n2018-CEB-0580 nos termos da Resolução ANEEL nº 414/2010. DESCRIÇÃO DOS SER-\nVIÇOS: Instalação de um transformador de 75KV A e um transformador de 225KV A para o"", ""instalação e retirada e um transformador de 75kVa e um transformador de 225kVa, consoante\nà Nota de Empenho 00173/2018, no valor de R$ 14.711,11 (quatorze mil, setecentos e onze"", ""instalação e retirada de 03 pontos provisórios de energia elétrica de 100 A e 06 pontos\nprovisórios de energia elétrica de 50 A, no valor de R$ 3.127,68 (três mil, cento e vinte e""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v0,True,"Qual é o custo total dos aparelhos de ar condicionado Split com Sistema Inverter, itens 01, 03 e 06?","R$108.365,00","O custo total dos aparelhos de ar condicionado Split com Sistema Inverter, itens 01, 03 e 06, é de R$ 108.365,00.","[""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""Inverter, para atender às necessidades da DF LEGAL.\nArt. 2º Os servidores de que trata o artigo 1º deverão observar o disposto nos\nartigos 66 e 67 da Lei nº 8.666, de 21 de junho de 1993, c/c o inciso II e § 5º do"", ""o, com instalação simples,\ntipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saúde do Distrito Federal\n- SES/DF. Vigência: 120 (cento e vinte) dias, contados a partir da sua assinatura, permanecendo as"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""panhar a prestação dos serviços contratados, nos dias 06, 07 e 08 de julho de 2018, referentes\na instalação e retirada de 03 pontos provisórios de energia elétrica de 100 A e 06 pontos"", ""instalação e retirada de 03 pontos provisórios de energia elétrica de 100 A e 06 pontos\nprovisórios de energia elétrica de 50 A, no valor de R$ 3.127,68 (três mil, cento e vinte e""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v1,True,"Quanto custa a aquisição de aparelhos de ar condicionado do tipo Split com Sistema Inverter para os itens 01, 03 e 06?","R$108.365,00","O custo total da aquisição de aparelhos de ar condicionado do tipo Split com Sistema Inverter para os itens 01, 03 e 06 é de R$ 108.365,00.","[""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""13,8KV - 2,4MV AR PARA INSTALAÇÃO NA NOV A SE 08, CONFORME ESPECIFICAÇÃO\nTÉCNICA ET GRST. Abertura: 26/07/2019, às 10h. Prazo de vigência: 4 (quatro) meses. Prorrogação em"", ""o, com instalação simples,\ntipo Split com Sistema Inverter, a fim de atender a Secretaria de Estado de Saúde do Distrito Federal\n- SES/DF. Vigência: 120 (cento e vinte) dias, contados a partir da sua assinatura, permanecendo as"", ""tabelecer a forma e as condições para a execução da obra, referente ao Projeto/Orçamento\n2018-CEB-0580 nos termos da Resolução ANEEL nº 414/2010. DESCRIÇÃO DOS SER-\nVIÇOS: Instalação de um transformador de 75KV A e um transformador de 225KV A para o"", ""Inverter, para atender às necessidades da DF LEGAL.\nArt. 2º Os servidores de que trata o artigo 1º deverão observar o disposto nos\nartigos 66 e 67 da Lei nº 8.666, de 21 de junho de 1993, c/c o inciso II e § 5º do""]"
o_presente_instrumento_tem_por_objeto_aquisicao_de_aparelhos_00_v2,True,"Qual é o valor total para a compra e instalação dos aparelhos de ar condicionado Split com Sistema Inverter, itens 01, 03 e 06?","R$108.365,00","O valor total para a compra e instalação dos aparelhos de ar condicionado Split com Sistema Inverter, itens 01, 03 e 06, é de R$ 108.365,00.","[""Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018 ;Unidade Orçamentária: 63101; Programa de Trabalho:\n04.122.6003.8517.0125;Natureza da Despesa: 44.90.52; Fonte de Recursos\n: 100; no valor de R$ 108.365,00"", ""COMERCIO DE SUPRIMENTOS LTDA-ME, CNPJ nº 11.594.621/0001-67. DO\nOBJETO: Aquisição de aparelhos de ar condicionado, com instalação simples, tipo Split\ncom Sistema Inverter, conforme especificado no Edital de Pregão Eletrônico nº 094/2020,"", ""COMÉRCIO DE ELETRODOMÉSTICOS LTDA-EPP, que tem por objeto aquisição de aparelhos de ar\ncondicionado, com instalação simples, tipo Split com Sistema Inverter, it\nem 07; PE n° 0122/2018, a saber:"", ""simples, tipo Split com Sistema Inverter, itens 01,03 e 06; PE n° 0122/2018, a saber: SEBASTIÃO BRASIL\nMARTINS, Gerente, da Gerência de Manutenção, matrícula: 274.045-1, JOSÉ MARIA DUARTE DE"", ""termos do Padrão n° 07/2002, cujo objeto é a aquisição e instalação de 6 (seis) aparelho de\nar condicionado, novo, Air Split HI Wall Inverter, de parede, cap. 18.000 BTU´s por hora,"", ""instalação e retirada de 03 pontos provisórios de energia elétrica de 100 A e 06 pontos\nprovisórios de energia elétrica de 50 A, no valor de R$ 3.127,68 (três mil, cento e vinte e"", ""dia 06 de dezembro de 2018, com valor estimado de R$ 5.881,80. Demais informações conforme\nedital.\nBrasília/DF, 21 de novembro de 2018.\nCÉLIA MARIA SIQUEIRA LEAL\nDiretora\nPREGÃO ELETRÔNICO Nº 96/2018"", ""tipo split hi-wall, 220V, tecnologia inverter, instalado, Características Adicionais: demais\nPÁGINA 73 Diário Oficial do Distrito Federal               Nº 59, SEGUNDA-FEIRA, 28 DE MARÇO DE 2022"", ""aquisição de aparelhos de ar condicionado, consoante especifica o Edital do Pregão\nEletrônico nº 94/2020 (74853150), na Ata de Registro de Preços nº 285/2020 (74853180)\ne (74853246), que passam a integrar o presente Termo. DO VALOR: O valor total do"", ""instalação e retirada e um transformador de 75kVa e um transformador de 225kVa, consoante\nà Nota de Empenho 00173/2018, no valor de R$ 14.711,11 (quatorze mil, setecentos e onze""]"
aquisicao_de_18_dezoito_bebedouros_de_inox_para_atender_dema_00_v0,False,Qual é o custo total dos dezoito bebedouros de inox adquiridos para atender às demandas da Secretaria de Estado de Segurança Pública do Distrito Federal?,"R$14.327,64",A informação solicitada não foi encontrada no contexto fornecido.,"[""alvos para tiro, para atender\ndemanda unidades da Secretaria de Estado de Segurança Pública do Distrito Federal. V ALOR ESTIMADO: R$\n97.575,00. PRAZOS: Entrega: até 30 dias contados do recebimento da Nota de Empenho e/ou da assinatura do"", ""operacionais da Secretaria de\nEstado de Segurança Pública do Distrito Federal, com a disponibilização de equipamentos, mão de obra\ne materiais.\nArt. 4° Ao Executor e Suplente designados no artigo supra, cabe o cumprimento das atribuições"", ""do Distrito Federal, para atender demandas da Secretaria de Estado de Segur\nança Pública do Distrito\nFederal. V ALOR ESTIMADO: Sigiloso para as empresas e será aberto após o encerramento da etapa de"", ""demandas da Secretaria de Estado de Segurança Pública do Distrito Federal. V ALOR ESTIMADO:\nSigiloso para as empresas e será aberto após o encerramento da etapa de lance\ns. PRAZOS: De entrega: 30"", ""SEGURANÇA PÚBLICA DO DISTRITO FEDERAL. Assunto: NÃO ENTREGA DO\nMATERIAL CONTIDO NA NOTA DE EMPENHO 2021NE00726. REFERÊNCIA:\nDESPACHO -SSP/SUAG/COFF/DOF/GEOF/NUORC. O DISTRITO FEDERAL, POR\nMEIO DA SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO"", ""INSTITUÍDO PELO DECRETO/DF N° 23.287/2002\nProcesso: 00050-00015930/2019-08. Partes: o Distrito Federal, por meio da SECRETARIA DE\nESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL e a empresa LEDU MATERIAIS"", ""INSTITUÍDO PELO DECRETO/DF N° 23.287/2002\nProcesso: 00050-00006406/2018-57. Partes: o Distrito Federal, por meio d a SECRETARIA DE\nESTADO DE SEGURANÇA PÚBLICA e a empresa GLS ENGENHARIA E CONSULTORIA LTDA."", ""SEGURANÇA PÚBLICA DO DISTRITO FEDERAL. Assunto: DECISÃO DE\nAPLICAÇÃO DE PENALIDADE ANTE A INEXECUÇÃO TOTAL DA NOTA DE\nEMPENHO 2021NE00190. O DISTRITO FEDERAL, POR MEIO DA SECRETARIA\nDE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL, COM SEDE"", ""estação de serviços de\nlimpeza, asseio e conservação, de forma contínua, com fornecimento de materiais, para atender as\nunidades da Secretaria de Estado de Segurança Pública do Distrito Federal. DECISÃO Nº 2644/2019 -"", ""orização Profissional da\nSecretaria de Estado de Segurança Pública do Distrito Federal, Símbolo DFG -14, no período de\n18/02/2019 a 22/02/2019, em virtude abono de ponto.\nALV ARO HENRIQUE FERREIRA DOS SANTOS\nRETIFICAÇÃO""]"
