id,is_correct,question,ground_truth_answer,generated_answer,expected_value,generated_value,source_documents_pages
contratacao_de_12_sentenciados_junto_a_funap_00_v0,False,Qual é o custo total da contratação de 12 sentenciados junto à FUNAP?,"R$ 286.696,80",Informação não disponível no contexto.,286696.80,,"[69, 7, 41]"
contratacao_de_12_sentenciados_junto_a_funap_00_v1,False,Quanto custa a contratação de doze indivíduos sentenciados através da FUNAP?,"R$ 286.696,80",Informação não disponível no contexto.,286696.80,,"[96, 69, 80]"
contratacao_de_12_sentenciados_junto_a_funap_00_v2,False,Qual o valor desembolsado para a contratação de uma dúzia de sentenciados pela FUNAP?,"R$ 286.696,80",Informação não disponível no contexto.,286696.80,,"[41, 73, 76]"
projeto_brb_stand_up_brasilia_00_v0,False,"Qual é o orçamento destinado ao projeto ""BRB Stand Up Brasilia""?","R$ 40.000,00",Informação não disponível no contexto.,40000.00,,"[65, 63, 47]"
projeto_brb_stand_up_brasilia_00_v1,False,"Quanto foi alocado para a realização do projeto ""BRB Stand Up Brasilia""?","R$ 40.000,00",Informação não disponível no contexto.,40000.00,,"[20, 65, 29]"
projeto_brb_stand_up_brasilia_00_v2,False,"Qual o valor total investido no projeto ""BRB Stand Up Brasilia""?","R$ 40.000,00","RS 513,554,60",40000.00,,"[51, 65, 59]"
projeto_gente_que_inspira_00_v0,False,"Qual é o orçamento total do projeto ""Gente que Inspira""?","R$ 120.000,00",Informação não disponível no contexto.,120000.00,,"[55, 58, 36]"
projeto_gente_que_inspira_00_v1,False,"Quanto foi investido no projeto ""Gente que Inspira""?","R$ 120.000,00",Informação não disponível no contexto.,120000.00,,"[99, 37, 55]"
projeto_gente_que_inspira_00_v2,False,"Qual é o valor total destinado ao projeto ""Gente que Inspira""?","R$ 120.000,00","RS 513,554,60",120000.00,,"[51, 73, 99]"
aquisicao_de_74_pneus_para_motocicleta_dimensoes_130_80r17_00_v0,False,Qual é o custo total da compra de 74 pneus para motocicleta com dimensões 130/80R17?,"R$ 13.570,86","RS 513,554,60",13570.86,,"[16, 7, 51]"
aquisicao_de_74_pneus_para_motocicleta_dimensoes_130_80r17_00_v1,False,Quanto custa adquirir 74 unidades de pneus para motocicleta com as especificações 130/80R17?,"R$ 13.570,86",Informação não disponível no contexto.,13570.86,,"[54, 77, 11]"
aquisicao_de_74_pneus_para_motocicleta_dimensoes_130_80r17_00_v2,False,Qual é o valor necessário para comprar 74 pneus de motocicleta com dimensões iguais a 130/80R17?,"R$ 13.570,86",Informação não disponível no contexto.,13570.86,,"[93, 51, 73]"
aquisicao_de_medidores_00_v0,False,Qual é o custo total para adquirir os medidores necessários?,"R$ 119.000,00",Informação não disponível no contexto.,119000.00,,"[7, 64, 57]"
aquisicao_de_medidores_00_v1,False,Quanto é necessário investir para comprar os medidores?,"R$ 119.000,00",Informação não disponível no contexto.,119000.00,,"[33, 48, 57]"
aquisicao_de_medidores_00_v2,False,Qual é o valor total da aquisição dos medidores?,"R$ 119.000,00","RS 513,554,60",119000.00,,"[51, 93, 73]"
contratacao_de_servicos_obras_de_implantacao_da_subestacao_0_00_v0,False,"Qual é o custo total para a contratação de serviços e obras de implantação da Subestação 08 - 34,5 kv?","R$ 11.530.286,18",Informação não disponível no contexto.,11530286.18,,"[96, 95, 55]"
contratacao_de_servicos_obras_de_implantacao_da_subestacao_0_00_v1,False,"Quanto será gasto com a implantação da Subestação 08 - 34,5 kv, incluindo todos os serviços e obras necessários?","R$ 11.530.286,18",Informação não disponível no contexto.,11530286.18,,"[96, 35, 13]"
contratacao_de_servicos_obras_de_implantacao_da_subestacao_0_00_v2,False,"Qual o valor total da proposta para a realização das obras e contratação de serviços para a Subestação 08 - 34,5 kv?","R$ 11.530.286,18",Informação não disponível no contexto.,11530286.18,,"[20, 96, 48]"
projeto_premio_nacional_de_educacao_fiscal_2019_00_v0,False,"Qual é o valor do prêmio concedido pelo ""Prêmio Nacional de Educação Fiscal 2019""?","R$ 35.000,00",Informação não disponível no contexto.,35000.00,,"[48, 24, 76]"
projeto_premio_nacional_de_educacao_fiscal_2019_00_v1,False,"Quanto foi concedido em premiação pelo ""Prêmio Nacional de Educação Fiscal 2019""?","R$ 35.000,00",Informação não disponível no contexto.,35000.00,,"[48, 67, 24]"
projeto_premio_nacional_de_educacao_fiscal_2019_00_v2,False,"Qual o montante em reais destinado ao vencedor do ""Prêmio Nacional de Educação Fiscal 2019""?","R$ 35.000,00",Informação não disponível no contexto.,35000.00,,"[24, 67, 18]"
brasilia_saa_qd_01_lt_225_e_235_00_v0,False,"Qual é o valor total de uma transação imobiliária localizada em Brasília, especificamente nas quadras SAA QD 01, lotes 225 e 235?","R$ 1.721.400,00","RS 513,554,60",1721400.00,,"[51, 65, 47]"
