question_id,question,ground_truth,source_pdf,source_page,question_type,contexto_original
P001,Quais devem ser os criterios de atuação dos servidores da CMPDF?,"Procedimento de
Distribuição de Turmas/Carga Horária e Atribuição de Atendimentos/Atuação e ser
registrada no SIGEP pela equipe gestora",DODF 020 28-01-2022 INTEGRA.pdf,57,Extracao de contrato,"Art. 44. A escolha dos Coordenadores Pedagógicos Locais deve ser efetuada nos
termos da Portaria que dispõe sobre os critérios referentes à atuação dos servidores
integrantes da CMPDF, deve ser realizada anteriormente ao Procedimento de
Distribuição de Turmas/Carga Horária e Atribuição de Atendimentos/Atuação e ser
registrada no SIGEP pela equipe gestora.
§ 1º Em caso de empate entre servidores da própria UE/UEE/ENE interessados na
atividade de Coordenador Pedagógico Local, terá prioridade, pela ordem, o de maior
pontuação obtida no Procedimento de Distribuição e Atribuição.DF/PMDF X PARTS LUB DISTRIBUIDORA E SERVIÇOS EIRELI. Objeto: Aquisição de 74 Pneus para motocicleta dimensões 130/80R17. VALOR: R$ 13.570,86 (treze mil, quinhentos e setenta reais e oitenta e seis centavos)."
P002,o que eu preciso para ser um educador social voluntário?,"I - graduados em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; II - estudantes universitários em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; III - estudantes da Educação de Jovens e Adultos, 3º segmento (EJA); IV - estudantes do Ensino Médio (EM) ou da Educação Profissional (EP), desde que atendam aos requisitos previstos no caput; V - pessoa com formação em Ensino Médio ou Educação Profissional (EP), com comprovação de conclusão; VI - experiência comprovada na área de educação especial e/ou saúde; VII - experiência comprovada na realização de oficinas lúdico-recreativas. § 1º A comprovação de que tratam os incisos I, II, III, IV, V, VI, VII será conforme critérios estabelecidos no formulário Análise Curricular dos Critérios de Seleção e Classificação, contido no Anexo I desta Portaria. § 2º Para comprovação do item 6 do formulário Análise Curricular dos Critérios de Seleção e Classificação, deverão ser anexados comprovante de inscrição nos referidos programas e/ou projetos e comprovante de matrícula do estudante na SEEDF. § 3º Os gestores das UEs ou CREs ficam terminantemente proibidos de selecionarem parentes, até o 2º grau, em suas respectivas unidades. § 4º O ESV que tenha filho(a) atendido(a) em uma UE da Rede Pública de Ensino do Distrito Federal deverá se candidatar para atuar em Unidades Escolares diferentes daquela em que o(a) filho(a) está matriculado(a). § 5º O ESV não poderá ter qualquer vínculo trabalhista com a Administração Pública, enquanto participar do Programa.",DODF 020 28-01-2022 INTEGRA.pdf,59,Extracao de contrato,"DOS CRITÉRIOS DE SELEÇÃO Art. 14. O Programa Educador Social Voluntário seleciona candidatos com idade mínima de dezoito anos que atendam a uma das seguintes exigências: I - graduados em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; II - estudantes universitários em licenciatura ou bacharelado, de formação específica, nas áreas de desenvolvimento das atividades; III - estudantes da Educação de Jovens e Adultos, 3º segmento (EJA); IV - estudantes do Ensino Médio (EM) ou da Educação Profissional (EP), desde que atendam aos requisitos previstos no caput; V - pessoa com formação em Ensino Médio ou Educação Profissional (EP), com comprovação de conclusão; VI - experiência comprovada na área de educação especial e/ou saúde; VII - experiência comprovada na realização de oficinas lúdico-recreativas. § 1º A comprovação de que tratam os incisos I, II, III, IV, V, VI, VII será conforme critérios estabelecidos no formulário Análise Curricular dos Critérios de Seleção e Classificação, contido no Anexo I desta Portaria. § 2º Para comprovação do item 6 do formulário Análise Curricular dos Critérios de Seleção e Classificação, deverão ser anexados comprovante de inscrição nos referidos programas e/ou projetos e comprovante de matrícula do estudante na SEEDF. § 3º Os gestores das UEs ou CREs ficam terminantemente proibidos de selecionarem parentes, até o 2º grau, em suas respectivas unidades. § 4º O ESV que tenha filho(a) atendido(a) em uma UE da Rede Pública de Ensino do Distrito Federal deverá se candidatar para atuar em Unidades Escolares diferentes daquela em que o(a) filho(a) está matriculado(a). § 5º O ESV não poderá ter qualquer vínculo trabalhista com a Administração Pública, enquanto participar do Programa."
P003,Quanto foi o valor total do contrato de adesão da adeleide?,"R$ 1.069.698,90",DODF 011 16-01-2019 INTEGRA.pdf,18,Extracao de contrato,"EXTRATO DO CONTRATO DE ADESÃO Nº 11/2018 PROCESSO SEI GDF Nº. 00144-00003040/2018-42 - DAS PARTES: ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO X COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB: O presente contrato se sujeita à Lei de Licitações e Contratos, apenas no que couber. O mesmo está vinculado à Justificativa de Inexigibilidade de Licitação, contida no Parecer Normativo nº 186/2012- PROCAD/PGDF (15199569), o Projeto Básico RA- XIV/COAG/GEAD (16406882), a manifestação favorável exarada pela Nota Técnica SEI-GDF n.º 56/2018 - RA-XIV/GAB/ASTEC (16125826), ratificada por meio do Ato de Ratificação de Inexigibilidade do Administrador Regional, conforme DODF n° 242, de 21 de dezembro de 2018, página 88, Doc. SEI n° 16637890. DO OBJETO: O presente CONTRATO tem por objeto regular, de forma contínua, exclusivamente os serviços públicos de abastecimento de água e esgotamento sanitário ao CONTRATANTE, necessários ao funcionamento dos próprios desta RA-XIV constantes no Anexo I deste Extrato, conforme condições, quantidades e especificações do Projeto Básico RA-XIV/COAG/GEAD (16406882). DO VALOR: O valor global é de R$ 1.069.698,90 (um milhão, sessenta e nove mil seiscentos e noventa e oito reais e noventa centavos) previsto para sessenta meses de contratação, sendo o valor total anual estimado para o exercício de 2019, de R$ 213.939,78 (duzentos e treze mil novecentos e trinta e nove reais e setenta e oito centavos) .DA DOTAÇÃO ORÇAMENTÁRIA: I - Unidade Orçamentária: 59116; II - Programa de Trabalho: 04.122.6001.8517.9785, III - Natureza da Despesa: 33.90.39; IV - Fonte de Recursos: 100, V - Nota de Empenho: nº 2018NE00223, emitida em 21/12/2018, sob o evento nº 400091, no valor inicial de R$ 100,00 (cem reais), na modalidade Estimativo. DO PRAZO DE VIGÊNCIA: O prazo de vigência do contrato será de 12(doze) meses, contados da data da sua assinatura, podendo ser prorrogado no interesse da administração até o limite de 60 (sessenta) meses, conforme disposto no inciso II do art. 57 a Lei nº 8.666/93, e alterações posteriores, bem como a aplicação do Parecer nº 186/2015-PROCAD/PGDF. DA ASSINATURA: 31/12/2018. DOS SIGNATÁRIOS: Pelo DISTRITO FEDERAL: ALAN JOSÉ VALIM MAIA, na qualidade de Administrador Regional de São Sebastião RA-XIV; e pela CONTRATADA: ADEILDE MATIAS CARLOS DE ARAUJO, Superintendente"
P004,qual valor de contrato do processo 001.000947/2017?,"R$ 2.044.997,88",DODF 029 09-02-2018 INTEGRA.pdf,34,,"Processo: 001.000947/2017. Contrato: nº 04/2018 - PG/CLDF decorrente do Pregão Eletrônico nº 25/2017, firmado entre a Câmara Legislativa do Distrito Federal, (Contratante) e a empresa SEFIX - GESTÃO DE PROFISSIONAIS EIRELLI-EPP, CNPJ nº 13.258.899/0001-99 (Contratada), em 08/02/2018. Objeto: Contratação, por meio de execução indireta, de serviços contínuos e sob demanda de limpeza, conservação e higienização com fornecimento de materiais e equipamentos, no edifício e áreas da Câmara Legislativa do Distrito Federal - CLDF, de acordo com as especificações e quantidades constantes do Anexo I - Termo de Referência, que integra este contrato, independentemente de transcrição. Valor total do contrato: R$ 2.044.997,88 (dois milhões, quarenta e quatro mil, novecentos e noventa e sete reais e oitenta e oito centavos), Unidade Gestora 010101, gestão 00001, unidade orçamentária 01101, programa de trabalho 0112260038517-0065, fonte de recurso 100000000. Nota de empenho: 2018NE00032 de 17/01/2018, natureza da despesa 3390-37. Vigência de 12 (doze) meses, contados de sua assinatura, com eficácia a partir da data de publicação do extrato no DODF. Legislação: Lei 8.666/93 e suas alterações. Partes: Pela Contratante, ANDRÉ LUIZ PEREZ N"
P005,qual foi o gasto total na compra dos caminhões hidrobasket?,"R$ 497.998,00",DODF 029 09-02-2018 INTEGRA.pdf,48,,"CONTRATO Nº 8867. ASSINATURA: 07/02/2018. PROCESSO Nº 092.003002/2017. PE nº 161/2017 - CAESB. OBJETO: Aquisição de 2 (dois) veículos do tipo caminhão hidrobasket (item 01). DOTAÇÃO ORÇAMENTÁRIA: UO: 22.202; PROGRAMA DE TRABALHO: 17.512.6210.7006.6033/44.90.51, CÓDIGO 22.206.012.041-0, FONTE DE RECURSO: CT 3168/OC - BID, CÓDIGO 21.205.100.010-5; UG: 190.206; GESTÃO: 19.206; EMPENHO 256/2018, DATADO DE: 15/01/2018, VALOR DO EMPENHO/CONTRATO: R$ 497.998,00 (quatrocentos e noventa e sete mil e novecentos e noventa e oito reais). PRAZO DE VIGÊNCIA: 240 (duzentos e quarenta) dias corridos. PRAZO DE ENTREGA: 120 (cento e vinte) dias corridos. FISCALIZAÇÃO: Edmilson Antonio de Matos, matrícula nº 49.807-6, para gestor e Eduardo Antonio Reis Burgos, matrícula nº 53.477-3, para fiscal. ASSINANTES: Pela CAESB: Maurício Leite Luduvice - Presidente e Walter Lúcio dos Santos Barros - Diretor de Operação e Manutenção. Pela MAX COMÉRCIO E SERVIÇOS DE CAMINHÕES LTDA: Adriana do Carmo de Sousa"
P006,qual foi o valor da operacionalização do convênio com o TSE?,"R$ 103.860,00","DODF 039 25-02-2019 INTEGRA.pdf
",26,,"AVISO DE INEXIGIBILIDADE E EXTRATO DE CONTRATO A Financeira BRB torna público que o Diretor Presidente ratificou o ato de inexigibilidade de licitação, para a contratação da empresa Zetrasoft Ltda.Objeto: contratação da empresa Zetrasoft Ltda para operacionalização do convênio com o Tribunal Superior Eleitoral. Fundamento Legal: Lei 13.303/16, art. 30. Valor estimado total: R$ 103.860,00 (cento e três mil, oitocentos e sessenta reais). Contrato com validade de 60 meses a partir do dia 08/02/19, signatários pela Financeira BRB: Alexandre Navarro Garcia, pela Zetrasoft: Samy Moustapha. Gestor do contrato Carlos James Abbehusen Neto. Processo: 881/2018."
P007,quanto foi gasto para aumentar a segurança no transito no DF?,"R$ 4.990.317,84","DODF 039 25-02-2019 INTEGRA.pdf
",27,,"PROCESSO: 00113-00037131/2018-11, CONTRATANTE: DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL, CNPJ 00.070.532/0001-03, CONTRATADA: POLIGRAPH SISTEMAS E REPRESENTAÇÕES LTDA, CNPJ 85.200.665/0001-00, OBJETO: CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS ABRANGENDO SUPORTE TÉCNICO, SUSTENTAÇÃO E MANUTENÇÃO E SERVIÇOS DE CONSULTORIA ESTRATÉGICOS RELACIONADOS À SOLUÇÃO SIDER (SISTEMAS INTEGRADOS PARA DEPARTAMENTO DE ESTRADAS DE RODAGEM) EM USO PELO DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL PARA APOIO À GESTÃO DE CONTRATOS E MEDIÇÕES DE OBRAS, GESTÃO DA OPERAÇÃO E MANUTENÇÃO RODOVIÁRIAS, GESTÃO ADMINISTRATIVA E FINANCEIRA, MÓDULOS DE APOIO E INDICADORES, COM O OBJETIVO DE APRIMORAR A SEGURANÇA DE TRÂNSITO DE PESSOAS E DE CARGAS NO SISTEMA RODOVIÁRIO DO DISTRITO FEDERAL - SRDF, FUNDAMENTAÇÃO LEGAL: ART. 25, I, DA LEI Nº 8.666, DE 21 DE JUNHO DE 1.993, VALOR: R$ 4.990.317,84 (QUATRO MILHÕES, NOVECENTOS E NOVENTA MIL, TREZENTOS E DEZESSETE REAIS E OITENTA E QUATRO CENTAVOS). EMPENHOS INICIAIS SÃO DE R$ 43.000,00 (QUARENTA E TRÊS MIL REAIS), Nº 2019NE00198 (SEI 18029871), DATADO DE 05/02/2019, DE R$ 95.959,65 (NOVENTA E CINCO MIL, NOVECENTOS E CINQUENTA NOVE REAIS E SESSENTA E CINCO CENTAVOS), Nº 2019NE00199 (SEI 18029945), DATADO DE 05/02/2019, NA MODALIDADE ESTIMATIVO, VIGÊNCIA: 21/02/2019 A 21/02/2021 (24 MESES), DATA DA ASSINATURA: 21/02/2019. ASSINANTES: PELO DER/DF: ENG. FA U Z I NACFUR JÚNIOR e PELA CTINF JOSÉ GERALDO DE MELO; PELA CONTRATADA: MOACIR ANTONIO MARAFON."
P008,quando foi assinado contratação das maquinas da bobcat?,10/01/2019,DODF 011 16-01-2019 INTEGRA.pdf,28,,"EXTRATO DE INSTRUMENTO CONTRATUAL PROCESSO: 00112-00017634/2018-07. ESPÉCIE: CONTRATO DE PRESTAÇÃO DE SERVIÇOS D.A. Nº 095/2018 - ASJUR/PRES. CONTRATANTES: COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP E POLIMAQ EQUIPAMENTOS AGROINDUSTRIAIS LTDA. DO OBJETO: contratação de empresa, com mão de obra especializada, para a prestação de serviços de manutenção de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e aplicação de peças genuínas, conforme especificações e quantitativos constantes do Termo de Referência, na proposta apresentada todos constantes do processo, os quais se tornam parte integrante deste instrumento, independentemente de transcrições. DO VALOR: R$ 279.300,00 (duzentos e setenta e nove mil e trezentos reais). DOS PRAZOS O prazo de vigência do contrato será de 12 (doze) meses, contado da data de sua assinatura. DOS RECURSOS: Programa de Trabalho 15..452.6210.8508.0002, Natureza da Despesa 33-90-30 e Fonte de Recurso 100, conforme as Notas de Empenho nº 2018NE03864 e 2018NE03865, no valor de R$ 46.550,00 (quarenta e seis mil quinhentos e cinquenta reais) , cada, datadas de 07.12.2018, bem como Previsão Orçamentária, na qual consta previsão de proposta orçamentária referente aos valores para o exercício de 2019. DATA DA ASSINATURA: 10/01/2019. PELA NOVACAP: DACLIMAR AZEVEDO"
P009,quanto foi gasto na contratação das maquinas da bobcat?,"R$ 279.300,00",DODF 011 16-01-2019 INTEGRA.pdf,28,,"EXTRATO DE INSTRUMENTO CONTRATUAL PROCESSO: 00112-00017634/2018-07. ESPÉCIE: CONTRATO DE PRESTAÇÃO DE SERVIÇOS D.A. Nº 095/2018 - ASJUR/PRES. CONTRATANTES: COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP E POLIMAQ EQUIPAMENTOS AGROINDUSTRIAIS LTDA. DO OBJETO: contratação de empresa, com mão de obra especializada, para a prestação de serviços de manutenção de maquinas da marca: BobCat, equipamentos e implementos, com eventual fornecimento e aplicação de peças genuínas, conforme especificações e quantitativos constantes do Termo de Referência, na proposta apresentada todos constantes do processo, os quais se tornam parte integrante deste instrumento, independentemente de transcrições. DO VALOR: R$ 279.300,00 (duzentos e setenta e nove mil e trezentos reais). DOS PRAZOS O prazo de vigência do contrato será de 12 (doze) meses, contado da data de sua assinatura. DOS RECURSOS: Programa de Trabalho 15..452.6210.8508.0002, Natureza da Despesa 33-90-30 e Fonte de Recurso 100, conforme as Notas de Empenho nº 2018NE03864 e 2018NE03865, no valor de R$ 46.550,00 (quarenta e seis mil quinhentos e cinquenta reais) , cada, datadas de 07.12.2018, bem como Previsão Orçamentária, na qual consta previsão de proposta orçamentária referente aos valores para o exercício de 2019. DATA DA ASSINATURA: 10/01/2019. PELA NOVACAP: DACLIMAR AZEVEDO"
P010,"existe algum processo,se sim, me informe. Qual o numero, sobre promover a educação ambiental no zoologico?",00410-00004508/2018-00,DODF 020 29-01-2019 INTEGRA.pdf,29,,"EXTRATO DA ATA DE REGISTRO DE PREÇOS N º 9004/2019 PROCESSO: 00410-00004508/2018-00, Pregão Eletrônico n.º 0142/2018, com HOMOLOGAÇÃO TOTAL em 23 de janeiro de 2019. Objeto: contratação de empresa especializada para a prestação de serviços de manutenção predial, com fornecimento de peças, equipamentos, materiais e mão de obra, a fim de atender as necessidades da Secretaria de Estado de Políticas Para Crianças, Adolescentes e Juventude (SECRIANÇA), Secretaria de Estado de Planejamento, Orçamento e Gestão (SEPLAG), conforme especificações e quantidades constantes no Termo de Referência. Assinatura da Ata: 28/01/2019. Vigência: 12 meses a contar da publicação no DODF. Empresas vencedoras e itens homologados: GHS ARTEX Construções Serviços e Reformas EIRELI - CNPJ: 07.825.261/0001-90, item 4, JD Construções e Serviços Ltda - CNPJ: 13.609.718/0001-21, itens 1, 2 e 3. A Ata, na íntegra, será disponibilizada no Portal eCompras, do Governo do Distrito Federal (www.compras.df.gov.br). WHESLEY FERNANDES HENRIQUE, Coordenador"
