id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,modalidade_licitacao,1,anotador_6043174,432851,17,PREGAO ELETRONICO,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,numero_licitacao,2,anotador_6043174,432872,8,116/2018,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,valor_estimado_contratacao,6,anotador_6043174,433432,10,"767.907,37",12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,data_abertura_licitacao,7,anotador_6043174,433599,10,20/11/2018,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,processo_gdf,490,anotador_6043174,433640,22,00410-00024534/2017-65,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,sistema_compras,8,anotador_6043174,433716,21,www.compras.df.gov.br,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,nome_responsavel,3,anotador_6043174,433818,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,tipo_objeto,540,anotador_6043174,432927,9,aquisicao,12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,objeto_licitacao,542,anotador_6043174,432889,516,"Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de
Acondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de
Protecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e
material permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos
integrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes
constantes no Termo de Referencia - Anexo I do Edital",12_22.11.2018-R53
12_22.11.2018,REL_AVISO_LICITACAO,R53,anotador_6043174,AVISO_LICITACAO,545,anotador_6043174,432830,1023,"AVISOS DE LICITACOES
PREGAO ELETRONICO No 116/2018
OBJETO: Registro de Precos visando a eventual aquisicao de Material de Expediente; Material de
Acondicionamento e Embalagem; Material de Limpeza e Producao de Higienizacao; Material de
Protecao e Seguranca; Ferramenta; Uniformes, Tecidos e Aviamentos; e aquisicao de equipamentos e
material permanente: Aparelho de Medicao e Orientacao, a fim de atender aos diversos orgaos
integrantes da centralizacao de compras do Distrito Federal, conforme especificacoes e condicoes
constantes no Termo de Referencia - Anexo I do Edital. Valor total estimado: R$ 767.907,37. Tipo
de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de vigencia da Ata de Registro de
Precos: 12 (doze) meses. Abertura das propostas dia 20/11/2018, as 9h30min. Processo (SEI) n
00410-00024534/2017-65. O edital podera ser retirado no endereco eletronico www.compras.df.gov.br.
Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 1o de novembro de 2018
GERARDA DA SILVA CARVALHO
Pregoeira",12_22.11.2018-R53
