id_root_A,pdf_A,id_dodf_B,id_ato_B,match_score
a_aquisição_de_equipamentos_de_tecnologia_da_informação_e_co_00_,DODF 191 08-10-2021 INTEGRA.pdf,637,637-R182,100.0
a_aquisição_de_gêneros_alimentícios_não_perecíveis_feijão_ca_00_,DODF 011 17-01-2022 INTEGRA.pdf,631,631-R14,100.0
a_contratação_de_empresa_especializada_no_fornecimento_de_so_00_,DODF 053 18-03-2022 INTEGRA.pdf,638,638-R24,100.0
aquisicao_de_2_dois_aparelhos_de_ultrassonografia_00_,DODF 244 24-12-2019 INTEGRA.pdf,24_24.12.2019,24_24.12.2019-R35,100.0
aquisicao_de_74_pneus_para_motocicleta_dimensoes_130_80r17_00_,DODF 224 26-11-2019 INTEGRA.pdf,13_26.11.2019,13_26.11.2019-R8,100.0
aquisicao_de_987_galoes_de_20l_de_agua_mineral_00_,DODF 138 24-07-2019 INTEGRA.pdf,6_24.7.2019,6_24.7.2019-R3,100.0
aquisicao_de_alcas_preformadas_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R4,100.0
aquisicao_de_cabos_de_aluminio_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R7,100.0
aquisicao_de_conector_terminal_compressao_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R6,100.0
aquisicao_de_conectores_tipo_parafuso_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R9,100.0
aquisicao_de_elos_fusiveis_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R10,100.0
aquisicao_de_emendas_polimericas_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R8,100.0
aquisicao_de_fita_eletrica_00_,DODF 152 13-08-2019 INTEGRA.pdf,8_13.8.2019,8_13.8.2019-R5,100.0
aquisicao_de_grampos_de_ancoragem_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R12,100.0
aquisicao_de_isolador_de_ancoragem_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R11,100.0
aquisicao_de_medidores_00_,DODF 226 28-11-2019 INTEGRA.pdf,15_28.11.2019,15_28.11.2019-R32,100.0
aquisicao_de_para_raios_00_,DODF 094 21-05-2019 INTEGRA.pdf,5_21.5.2019,5_21.5.2019-R5,100.0
aquisicao_de_transformadores_00_,DODF 193 09-10-2019 INTEGRA.pdf,211_193.9.10.2019,211_193.9.10.2019-R18,100.0
aquisição_computadores_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R147,100.0
aquisição_de_01_um_sistema_de_cftv_de_monitoramento_com_10_c_00_,DODF 184 29-09-2021 INTEGRA.pdf,633,633-R179,100.0
aquisição_de_2_500_duas_mil_e_quinhentas_armas_de_fogo_peque_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R160,100.0
aquisição_de_62_sessenta_e_dois_pneus_radiais_315_80_r22_5_i_00_,DODF 232 14-12-2021 INTEGRA.pdf,634,634-R95,100.0
aquisição_de_72_setenta_e_dois_aparelhos_de_ar_condicionado_00_,DODF 233 15-12-2021 INTEGRA.pdf,625,625-R81,100.0
aquisição_de_computadores_e_monitores_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R146,100.0
aquisição_de_divisórias_novas_e_em_primeiro_uso_com_a_instal_00_,DODF 055 22-03-2022 INTEGRA.pdf,640,640-R5,100.0
aquisição_de_emulsão_asfáltica_tipo_ruptura_média_rm1c_00_,DODF 181 24-09-2021 INTEGRA.pdf,636,636-R177,100.0
aquisição_de_equipamentos_de_áudio_e_vídeo_para_o_centro_int_00_,DODF 019 27-01-2022 INTEGRA.pdf,628,628-R218,100.0
aquisição_de_equipamentos_materiais_de_consumo_de_informátic_00_,DODF 191 08-10-2021 INTEGRA.pdf,637,637-R159,100.0
aquisição_de_licenças_anuais_do_software_zoom_do_tipo_zoom_b_00_,DODF 125 06-07-2021 INTEGRA.pdf,665,665-R49,100.0
aquisição_de_licenças_de_softwares_básicos_de_infraestrutura_00_,DODF 226 06-12-2021 INTEGRA.pdf,630,630-R63,100.0
aquisição_de_mobiliário_novos_e_em_primeiro_uso_persiana_ite_00_,DODF 184 29-09-2021 INTEGRA.pdf,633,633-R94,100.0
aquisição_de_polieletrólito_catiônico_em_pó_item_3_do_edital_00_,DODF 110 15-06-2021 INTEGRA.pdf,667,667-R51,100.0
aquisição_de_urnas_mortuárias_consoante_especifica_o_edital__00_,DODF 233 15-12-2021 INTEGRA.pdf,625,625-R86,100.0
brasilia_saa_qd_01_lt_225_e_235_00_,DODF 029 09-02-2018 INTEGRA.pdf,1_9.2.2018.1,1_9.2.2018.1-R2,100.0
cessão_do_direito_de_uso_do_licenciamento_do_sistema_econsig_00_,DODF 143 30-07-2021 INTEGRA.pdf,629,629-R70,100.0
concessão_de_uso_de_área_destinada_à_exploração_comercial_de_00_,DODF 102 01-06-2021 INTEGRA.pdf,664,664-R7,100.0
contratacao_de_12_sentenciados_junto_a_funap_00_,DODF 195 11-10-2019 INTEGRA.pdf,10_11.10.2019,10_11.10.2019-R2,100.0
contratacao_de_servicos_obras_de_implantacao_da_subestacao_0_00_,DODF 226 28-11-2019 INTEGRA.pdf,15_28.11.2019,15_28.11.2019-R33,100.0
contratação_da_prestação_de_serviços_de_reparo_com_o_forneci_00_,DODF 107 10-06-2021 INTEGRA.pdf,668,668-R13,100.0
contratação_de_9_504_ust_s_para_dar_continuidade_ao_desenvol_00_,DODF 053 18-03-2022 INTEGRA.pdf,638,638-R28,100.0
contratação_de_empresa_especializada_em_prestação_de_serviço_00_,DODF 184 29-09-2021 INTEGRA.pdf,633,633-R96,100.0
contratação_de_empresa_especializada_para_a_aquisição_de_amo_00_,DODF 123 02-07-2021 INTEGRA.pdf,669,669-R8,100.0
contratação_de_empresa_especializada_para_construção_de_quad_00_,DODF 232 14-12-2021 INTEGRA.pdf,634,634-R91,100.0
contratação_de_empresa_para_o_fornecimento_contínuo_sob_dema_00_,DODF 232 14-12-2021 INTEGRA.pdf,634,634-R96,100.0
contratação_de_serviços_planejados_de_auditoria_interna_a_se_00_,DODF 113 18-06-2021 INTEGRA.pdf,671,671-R44,100.0
contratação_por_60_sessenta_meses_de_solução_de_inteligência_00_,DODF 019 27-01-2022 INTEGRA.pdf,628,628-R91,100.0
doação_de_resíduos_de_cadeiras_mesas_e_armários_em_madeira_00_,DODF 125 06-07-2021 INTEGRA.pdf,665,665-R52,100.0
execução_de_serviço_de_nova_impermeabilização_com_manta_asfá_00_,DODF 123 02-07-2021 INTEGRA.pdf,669,669-R6,100.0
extensão_da_compacta_de_alta_tensão_para_a_estação_elevatóri_00_,DODF 125 06-07-2021 INTEGRA.pdf,665,665-R51,100.0
extensão_de_rede_de_alta_tensão_trifásica_para_a_estação_ele_00_,DODF 125 06-07-2021 INTEGRA.pdf,665,665-R50,100.0
locação_de_imóvel_para_funcionamento_da_agência_do_brb_00_,DODF 143 30-07-2021 INTEGRA.pdf,629,629-R71,100.0
locação_de_imóvel_situado_na_qs_406_conjunto_e_lote_3_loja_4_00_,DODF 053 18-03-2022 INTEGRA.pdf,638,638-R27,100.0
o_contrato_tem_por_objeto_a_aquisição_de_1_000_mil_unidades__00_,DODF 143 30-07-2021 INTEGRA.pdf,629,629-R73,100.0
o_contrato_tem_por_objeto_a_aquisição_de_quantidade_de_25_vi_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R141,100.0
o_contrato_tem_por_objeto_a_operacionalização_do_pagamento_d_00_,DODF 181 24-09-2021 INTEGRA.pdf,636,636-R92,100.0
o_contrato_tem_por_objeto_aquisição_de_aparelhos_de_ar_condi_00_,DODF 233 15-12-2021 INTEGRA.pdf,625,625-R85,100.0
o_contrato_tem_por_objeto_aquisição_de_insumos_para_dar_cont_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R162,100.0
o_fornecimento_e_instalação_de_divisórias_e_revestimentos_em_00_,DODF 236 20-12-2021 INTEGRA.pdf,626,626-R135,100.0
o_presente_contrato_tem_por_objeto_a_aquisição_de_10_000_dez_00_,DODF 143 30-07-2021 INTEGRA.pdf,629,629-R72,100.0
o_presente_contrato_tem_por_objeto_a_aquisição_de_material_d_00_,DODF 173 14-09-2021 INTEGRA.pdf,632,632-R70,100.0
o_presente_contrato_tem_por_objeto_a_aquisição_por_dispensa__00_,DODF 181 24-09-2021 INTEGRA.pdf,636,636-R87,100.0
prestacao_de_servico_de_transporte_de_servidores_para_as_uni_00_,DODF 071 15-04-2019 INTEGRA.pdf,4_15.4.2019,4_15.4.2019-R3,100.0
prestacao_de_servico_publico_de_energia_eletrica_00_,DODF 071 15-04-2019 INTEGRA.pdf,4_15.4.2019,4_15.4.2019-R4,100.0
prestação_de_ser_viços_de_manutenção_preventiva_e_corretiva__00_,DODF 113 18-06-2021 INTEGRA.pdf,667,667-R57,100.0
prestação_de_serviços_de_adaptação_de_espaços_para_implantaç_00_,DODF 181 24-09-2021 INTEGRA.pdf,636,636-R81,100.0
prestação_de_serviços_de_assessoria_técnica_e_administrativa_00_,DODF 226 06-12-2021 INTEGRA.pdf,630,630-R64,100.0
prestação_de_serviços_de_consultoria_e_assessoria_jurídica_00_,DODF 102 01-06-2021 INTEGRA.pdf,664,664-R8,100.0
prestação_de_serviços_de_manutenção_de_extintores_00_,DODF 113 18-06-2021 INTEGRA.pdf,671,671-R43,100.0
prestação_de_serviços_de_mão_de_obra_para_instalação_de_guia_00_,DODF 126 07-07-2021 INTEGRA.pdf,670,670-R10,100.0
prestação_de_serviços_de_reparação_inicial_manutenção_preven_00_,DODF 113 18-06-2021 INTEGRA.pdf,671,671-R80,100.0
prestação_de_serviços_de_vigilância_e_segurança_armada_do_pa_00_,DODF 126 07-07-2021 INTEGRA.pdf,627,627-R102,100.0
prestação_de_serviços_gráficos_sob_demanda_para_a_emissão_de_00_,DODF 053 18-03-2022 INTEGRA.pdf,638,638-R26,100.0
prestação_de_serviços_técnicos_de_desenvolvimento_e_manutenç_00_,DODF 233 15-12-2021 INTEGRA.pdf,625,625-R84,100.0
prestação_de_serviços_técnicos_especializados_para_contagem__00_,DODF 191 08-10-2021 INTEGRA.pdf,637,637-R160,100.0
projeto_4o_desafio_nacional_de_salvamento_veicular_e_trauma_00_,DODF 244 24-12-2019 INTEGRA.pdf,24_24.12.2019,24_24.12.2019-R19,100.0
projeto_52o_festival_de_brasilia_do_cinema_00_,DODF 242 20-12-2019 INTEGRA.pdf,22_20.12.2019.1,22_20.12.2019.1-R24,100.0
projeto_brb_stand_up_brasilia_00_,DODF 195 11-10-2019 INTEGRA.pdf,10_11.10.2019,10_11.10.2019-R8,100.0
projeto_debandando_nas_feiras_00_,DODF 109 11-06-2019 INTEGRA.pdf,214_109.11.6.2019,214_109.11.6.2019-R48,100.0
projeto_gente_que_inspira_00_,DODF 207 30-10-2019 INTEGRA.pdf,11_30.10.2019,11_30.10.2019-R3,100.0
projeto_premio_nacional_de_educacao_fiscal_2019_00_,DODF 226 28-11-2019 INTEGRA.pdf,15_28.11.2019,15_28.11.2019-R26,100.0
reforma_dos_banheiros_na_edificação_da_feira_da_fercal_df_co_00_,DODF 232 14-12-2021 INTEGRA.pdf,634,634-R92,100.0
serviços_de_arrecadação_bancária_de_contas_faturas_de_água_e_00_,DODF 110 15-06-2021 INTEGRA.pdf,667,667-R59,100.0
serviços_de_confecção_e_fornecimento_de_cartão_em_pvc_person_00_,DODF 117 24-06-2021 INTEGRA.pdf,672,672-R88,100.0
tem_por_objeto_execução_de_obra_00_,DODF 235 17-12-2021 INTEGRA.pdf,627,627-R62,100.0
