texto,numero_contrato,processo_gdf,orgao_contratante,entidade_contratada,objeto_contrato,valor_contrato,unidade_orcamentaria,programa_trabalho,natureza_despesa,fonte_recurso,nota_empenho,data_assinatura_contrato,vigencia_contrato,cnpj_entidade_contratada,codigo_siggo,cnpj_orgao_contratante,nome_responsavel,valor_contrato_enriched,valor_contrato_norm,numero_contrato_norm,valor_contrato_norm_norm,objeto_contrato_norm,orgao_contratante_norm,entidade_contratada_norm,cnpj_entidade_contratada_norm,cnpj_orgao_contratante_norm,texto_norm,multi_anchor_matched,multi_anchor_score,multi_anchor_id_ato,multi_anchor_id_dodf,multi_anchor_reason,dados_incompletos
"Especie: Contrato no 715/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Maurizio
& Cia Ltda. Processo no 310002314/2018, regido pela Lei 13.303/2016. Data de Assinatura: 08/05/2019.
Objeto: aquisicao de isolador de ancoragem. Vigencia: 8 meses. Valor: R$ 75.950,00. Assinaturas: pela
CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA FERNANDES DAS
NEVES; e pela Contratada: BELCHIOR RODRIGUES DA SILVA.",715/2019,310002314/2018,CEB Distribuicao S.A.,"Maurizio
& Cia Ltda",aquisicao de isolador de ancoragem,"75.950,00",,,,,,08/05/2019,8 meses,,,,,"75.950,00","75.950,00",715/2019,"75.950,00",aquisicao de isolador de ancoragem,ceb distribuicao s.a.,maurizio & cia ltda,nan,nan,"especie: contrato no 715/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a maurizio & cia ltda. processo no 310002314/2018, regido pela lei 13.303/2016. data de assinatura: 08/05/2019. objeto: aquisicao de isolador de ancoragem. vigencia: 8 meses. valor: r$ 75.950,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: belchior rodrigues da silva.",True,100.0,5_21.5.2019-R11,5_21.5.2019,match:numero_contrato,False
"Especie: Contrato no 716/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Fenix
Acessorios Polimericos Eireli - EPP. Processo no 0310-002314/2018, regido pela Lei 13.303/2016. Data de
Assinatura: 08/05/2019. Objeto: aquisicao de grampos de ancoragem. Vigencia: 8 meses. Valor: R$
72.240,00. Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA
MARIA FERNANDES DAS NEVES; e pela Contratada: PATRICIA CASARIN DE LIMA.",716/2019,0310-002314/2018,CEB Distribuicao S.A.,"Fenix
Acessorios Polimericos Eireli - EPP",aquisicao de grampos de ancoragem,"72.240,00",,,,,,08/05/2019,8 meses,,,,,"72.240,00","72.240,00",716/2019,"72.240,00",aquisicao de grampos de ancoragem,ceb distribuicao s.a.,fenix acessorios polimericos eireli - epp,nan,nan,"especie: contrato no 716/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a fenix acessorios polimericos eireli - epp. processo no 0310-002314/2018, regido pela lei 13.303/2016. data de assinatura: 08/05/2019. objeto: aquisicao de grampos de ancoragem. vigencia: 8 meses. valor: r$ 72.240,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: patricia casarin de lima.",True,100.0,5_21.5.2019-R12,5_21.5.2019,match:numero_contrato,False
"EXTRATOS DE CONTRATO
Especie: Contrato no 699/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A e a Sulminas
Fios & Cabos Ltda. Processo no 310.000337/2018, regido pela Lei 13.303/20163. Data de Assinatura:
10/05/2019. Objeto: Aquisicao de Alcas Preformadas. Vigencia: 8 meses. Valor: R$ 18.285,00.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO.",699/2019,310.000337/2018,CEB Distribuicao S.A,"Sulminas
Fios & Cabos Ltda",Aquisicao de Alcas Preformadas,"18.285,00",,,,,,10/05/2019,8 meses,,,,,"18.285,00","18.285,00",699/2019,"18.285,00",aquisicao de alcas preformadas,ceb distribuicao s.a,sulminas fios & cabos ltda,nan,nan,"extratos de contrato especie: contrato no 699/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a e a sulminas fios & cabos ltda. processo no 310.000337/2018, regido pela lei 13.303/20163. data de assinatura: 10/05/2019. objeto: aquisicao de alcas preformadas. vigencia: 8 meses. valor: r$ 18.285,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: ademir machado.",True,100.0,5_21.5.2019-R4,5_21.5.2019,match:orgao_contratante,False
"EXTRATOS DE CONTRATO
Especie: Contrato no 699/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A e a Sulminas
Fios & Cabos Ltda. Processo no 310.000337/2018, regido pela Lei 13.303/20163. Data de Assinatura:
10/05/2019. Objeto: Aquisicao de Alcas Preformadas. Vigencia: 8 meses. Valor: R$ 18.285,00.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO.",699/2019,310.000337/2018,CEB Distribuicao S.A,"Sulminas
Fios & Cabos Ltda",Aquisicao de Alcas Preformadas,"18.285,00",,,,,,10/05/2019,8 meses,,,,,"18.285,00","18.285,00",699/2019,"18.285,00",aquisicao de alcas preformadas,ceb distribuicao s.a,sulminas fios & cabos ltda,nan,nan,"extratos de contrato especie: contrato no 699/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a e a sulminas fios & cabos ltda. processo no 310.000337/2018, regido pela lei 13.303/20163. data de assinatura: 10/05/2019. objeto: aquisicao de alcas preformadas. vigencia: 8 meses. valor: r$ 18.285,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: ademir machado.",True,100.0,5_21.5.2019-R4,5_21.5.2019,match:orgao_contratante,False
"Especie: Contrato no 702/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Industria
Eletromecanica Balestro Ltda. Processo no 310.000183/2018, regido pela Lei 13.303/2016. Data de
Assinatura: 07/05/2019. Objeto: aquisicao de para-raios. Vigencia: 8 meses. Valor: R$ 199.050,00.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: MARCOS ALEX MORIGINO.",702/2019,310.000183/2018,CEB Distribuicao S.A.,"Industria
Eletromecanica Balestro Ltda",aquisicao de para-raios,"199.050,00",,,,,,07/05/2019,8 meses,,,,,"199.050,00","199.050,00",702/2019,"199.050,00",aquisicao de para-raios,ceb distribuicao s.a.,industria eletromecanica balestro ltda,nan,nan,"especie: contrato no 702/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a industria eletromecanica balestro ltda. processo no 310.000183/2018, regido pela lei 13.303/2016. data de assinatura: 07/05/2019. objeto: aquisicao de para-raios. vigencia: 8 meses. valor: r$ 199.050,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: marcos alex morigino.",True,100.0,5_21.5.2019-R5,5_21.5.2019,match:orgao_contratante,False
"Especie: Contrato no 704/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a KRJ
Industria e Comercio Ltda. Processo no 0310-000298/2018, regido pela Lei 13.303/20163. Data de
Assinatura: 13/05/2019. Objeto: Aquisicao de Conector Terminal Compressao. Vigencia: 8 meses. Valor:
R$ 34.494,25. Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA
MARIA FERNANDES DAS NEVES; e pela Contratada: ROBERTO KARAM JR.",704/2019,0310-000298/2018,CEB Distribuicao S.A.,"KRJ
Industria e Comercio Ltda",Aquisicao de Conector Terminal Compressao,"34.494,25",,,,,,13/05/2019,8 meses,,,,,"34.494,25","34.494,25",704/2019,"34.494,25",aquisicao de conector terminal compressao,ceb distribuicao s.a.,krj industria e comercio ltda,nan,nan,"especie: contrato no 704/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a krj industria e comercio ltda. processo no 0310-000298/2018, regido pela lei 13.303/20163. data de assinatura: 13/05/2019. objeto: aquisicao de conector terminal compressao. vigencia: 8 meses. valor: r$ 34.494,25. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: roberto karam jr.",True,100.0,5_21.5.2019-R6,5_21.5.2019,match:numero_contrato,False
"Especie: Contrato no 708/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fios & Cabos Ltda. Processo no 0310-001290/2018, regido pela Lei 13.303/2016. Data de Assinatura:
10/05/2019. Objeto: Aquisicao de Cabos de Aluminio. Vigencia: 8 meses. Valor: R$ 83.040,00.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO.",708/2019,0310-001290/2018,CEB Distribuicao S.A.,"Sulminas
Fios & Cabos Ltda",Aquisicao de Cabos de Aluminio,"83.040,00",,,,,,10/05/2019,8 meses,,,,,"83.040,00","83.040,00",708/2019,"83.040,00",aquisicao de cabos de aluminio,ceb distribuicao s.a.,sulminas fios & cabos ltda,nan,nan,"especie: contrato no 708/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a sulminas fios & cabos ltda. processo no 0310-001290/2018, regido pela lei 13.303/2016. data de assinatura: 10/05/2019. objeto: aquisicao de cabos de aluminio. vigencia: 8 meses. valor: r$ 83.040,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: ademir machado.",True,100.0,5_21.5.2019-R7,5_21.5.2019,match:orgao_contratante,False
"Especie: Contrato no 709/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fios & Cabos Ltda. Processo no 310.002335/2018, regido pela Lei 13.303/20163. Data de Assinatura:
10/05/2019. Objeto: Aquisicao de Emendas Polimericas. Vigencia: 8 meses. Valor: R$ 87.154,00.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO.",709/2019,310.002335/2018,CEB Distribuicao S.A.,"Sulminas
Fios & Cabos Ltda",Aquisicao de Emendas Polimericas,"87.154,00",,,,,,10/05/2019,8 meses,,,,,"87.154,00","87.154,00",709/2019,"87.154,00",aquisicao de emendas polimericas,ceb distribuicao s.a.,sulminas fios & cabos ltda,nan,nan,"especie: contrato no 709/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a sulminas fios & cabos ltda. processo no 310.002335/2018, regido pela lei 13.303/20163. data de assinatura: 10/05/2019. objeto: aquisicao de emendas polimericas. vigencia: 8 meses. valor: r$ 87.154,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: ademir machado.",True,100.0,5_21.5.2019-R8,5_21.5.2019,match:orgao_contratante,False
"Especie: Contrato no 710/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Sulminas
Fios & Cabos Ltda. Processo no 0310-000168/2018, regido pela Lei 13.303/20163. Data de Assinatura:
10/05/2019. Objeto: Aquisicao de Conectores Tipo Parafuso. Vigencia: 8 meses. Valor: R$ 21.666,40.
Assinaturas: pela CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA
FERNANDES DAS NEVES; e pela Contratada: ADEMIR MACHADO.",710/2019,0310-000168/2018,CEB Distribuicao S.A.,"Sulminas
Fios & Cabos Ltda",Aquisicao de Conectores Tipo Parafuso,"21.666,40",,,,,,10/05/2019,8 meses,,,,,"21.666,40","21.666,40",710/2019,"21.666,40",aquisicao de conectores tipo parafuso,ceb distribuicao s.a.,sulminas fios & cabos ltda,nan,nan,"especie: contrato no 710/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a sulminas fios & cabos ltda. processo no 0310-000168/2018, regido pela lei 13.303/20163. data de assinatura: 10/05/2019. objeto: aquisicao de conectores tipo parafuso. vigencia: 8 meses. valor: r$ 21.666,40. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: ademir machado.",True,100.0,5_21.5.2019-R9,5_21.5.2019,match:numero_contrato,False
"Especie: Contrato no 715/2019 - CEB DISTRIBUICAO S.A. Partes: CEB Distribuicao S.A. e a Maurizio
& Cia Ltda. Processo no 310002314/2018, regido pela Lei 13.303/2016. Data de Assinatura: 08/05/2019.
Objeto: aquisicao de isolador de ancoragem. Vigencia: 8 meses. Valor: R$ 75.950,00. Assinaturas: pela
CEB Distribuicao: ARMANDO CASADO DE ARAUJO E GRAZIELA MARIA FERNANDES DAS
NEVES; e pela Contratada: BELCHIOR RODRIGUES DA SILVA.",715/2019,310002314/2018,CEB Distribuicao S.A.,"Maurizio
& Cia Ltda",aquisicao de isolador de ancoragem,"75.950,00",,,,,,08/05/2019,8 meses,,,,,"75.950,00","75.950,00",715/2019,"75.950,00",aquisicao de isolador de ancoragem,ceb distribuicao s.a.,maurizio & cia ltda,nan,nan,"especie: contrato no 715/2019 - ceb distribuicao s.a. partes: ceb distribuicao s.a. e a maurizio & cia ltda. processo no 310002314/2018, regido pela lei 13.303/2016. data de assinatura: 08/05/2019. objeto: aquisicao de isolador de ancoragem. vigencia: 8 meses. valor: r$ 75.950,00. assinaturas: pela ceb distribuicao: armando casado de araujo e graziela maria fernandes das neves; e pela contratada: belchior rodrigues da silva.",True,100.0,5_21.5.2019-R11,5_21.5.2019,match:numero_contrato,False
