id_ato,pdf_nome,erro,ancora_buscada (fuzzy),ancora_buscada
10_11.10.2019-R21,DODF 195 11-10-2019 INTEGRA.pdf,Objeto (objeto_contrato) não encontrado (Score: 0.0%),,
16_29.11.2019-R31,DODF 227 29-11-2019 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"325000,00"
1_31.5.2019-R1,DODF 102 31-05-2019 INTEGRA.pdf,Objeto (objeto_contrato) não encontrado (Score: 0.0%),,
624-R102,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"18144,04"
624-R103,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"608175,00"
624-R108,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1800000,00"
624-R109,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"16632000,00"
624-R110,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1797362,40"
624-R111,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"808635,75"
624-R112,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"191087,28"
624-R113,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"71414,00"
624-R114,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"300000,00"
624-R115,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"2230,14"
624-R116,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"83,77"
624-R117,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"7448,92"
624-R118,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1215,49"
624-R122,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"600571,84"
624-R123,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1080000,00"
624-R124,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"336000,00"
624-R125,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"483342,18"
624-R127,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"395686,29"
624-R128,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"578170,00"
624-R129,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"180000,00"
624-R130,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"8880,00"
624-R155,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"40078,80"
624-R156,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"14702,90"
624-R164,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"232000,00"
624-R42,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"144831,34"
624-R43,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"239997,00"
624-R44,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"138637,27"
624-R45,DODF 215 18-11-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"45002,16"
625-R106,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"58967,26"
625-R107,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"65560,00"
625-R108,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"772250,07"
625-R109,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"14868,00"
625-R112,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1623403,51"
625-R113,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"12290,00"
625-R114,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"3820,92"
625-R130,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"3726128,76"
625-R131,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"9600,00"
625-R132,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"4698870,00"
625-R133,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"540000,00"
625-R134,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1815000,00"
625-R135,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"50000,01"
625-R137,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"534,40"
625-R138,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"803,71"
625-R140,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"5851,00"
625-R141,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"24300,00"
625-R142,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"12806,60"
625-R143,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"16820,00"
625-R144,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"74658,00"
625-R147,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"102558,42"
625-R148,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"557665,83"
625-R149,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"9584923,66"
625-R161,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"3201327,36"
625-R162,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"3158385,00"
625-R163,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"2700768,05"
625-R170,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"53850,58"
625-R171,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"172,68"
625-R172,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1099,29"
625-R173,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"3948,13"
625-R174,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"11575,45"
625-R175,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1239,55"
625-R176,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"4452,62"
625-R177,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"253,86"
625-R178,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1482,56"
625-R179,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"14024,55"
625-R192,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"118958,00"
625-R193,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"7177,93"
625-R194,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"617,27"
625-R195,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"5572,64"
625-R196,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"16999,80"
625-R197,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1091,80"
625-R198,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"4095,28"
625-R199,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"8990,00"
625-R200,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"749423,99"
625-R201,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"56779,08"
625-R203,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"843,00"
625-R204,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"87600,00"
625-R205,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,78800
625-R206,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"5478,00"
625-R209,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1047900,00"
625-R211,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"74999,99"
625-R89,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"109617,12"
625-R90,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"275000,00"
625-R91,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"9979,92"
625-R93,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"57685,86"
625-R94,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"746296,16"
625-R98,DODF 233 15-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"34911,00"
626-R105,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"594711,05"
626-R106,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"19000,00"
626-R107,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"35589,00"
626-R110,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"64395,60"
626-R111,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"763000,00"
626-R115,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"58806,00"
626-R116,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"210360,00"
626-R117,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"354130,00"
626-R118,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"13740,00"
626-R121,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"140200,00"
626-R122,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"148532,97"
626-R123,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"2078106,9870"
626-R124,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"800000,00"
626-R125,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1104000,00"
626-R127,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"4860190,27"
626-R128,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"99982,35"
626-R129,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"98906,25"
626-R130,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"9241,54"
626-R131,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"48600,00"
626-R132,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"18761,40"
626-R137,DODF 236 20-12-2021 INTEGRA.pdf,Valor (valor_contrato) não encontrado,,"1512591,04"
