id_dodf_faltante,pdf_encontrado_manual
12_16.1.2019,DODF 011 16-01-2019 INTEGRA.pdf
12_22.11.2018,DODF 222 22-11-2018 INTEGRA.pdf
16_29.11.2019,DODF 227 29-11-2019 INTEGRA.pdf
18_6.12.2018,DODF 231 06-12-2018 INTEGRA.pdf
19_12.12.2019,DODF 236 12-12-2019 INTEGRA.pdf
1_31.5.2019,DODF 102 31-05-2019 INTEGRA.pdf
21_16.12.2019.1,DODF 238 16-12-2019 INTEGRA.pdf
235_129.10.7.2018,DODF 129 10-07-2018 INTEGRA.pdf
24_29.1.2019,DODF 020 29-01-2019 INTEGRA.pdf
251_108.8.6.2018,DODF 108 08-06-2018 INTEGRA.pdf
25_27.12.2018,DODF 245 27-12-2018 INTEGRA.pdf
2_19.6.2019,DODF 115 19-06-2019 INTEGRA.pdf
2_25.2.2019,DODF 039 25-02-2019 INTEGRA.pdf
3_29.3.2019,DODF 060 29-03-2019 INTEGRA.pdf
3_4.7.2019,DODF 124 04-07-2019 INTEGRA.pdf
4_12.7.2019,DODF 130 12-07-2019 INTEGRA.pdf
5_16.7.2019,DODF 132 16-07-2019 INTEGRA.pdf
624,DODF 215 18-11-2021 INTEGRA.pdf
635,DODF 224 02-12-2021 INTEGRA.pdf
639,DODF 044 07-03-2022 INTEGRA.pdf
666,DODF 121 30-06-2021 INTEGRA.pdf
7_2.8.2019,DODF 145 02-08-2019 INTEGRA.pdf
9_10.9.2018,DODF 172 10-09-2018 INTEGRA.pdf
