texto,objeto_contrato,valor_contrato,multi_anchor_id_ato,multi_anchor_id_dodf,pdf_gold
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS No 03/2019
NOS TERMOS DO PADRAO CEB
PROCESSO: 00145-00000647/2019-23; DAS PARTES: ADMINISTRACAO REGIONAL DO
RECANTO DAS EMAS - RA-XV x CEB DISTRIBUICAO S.A - CEB; DO FUNDAMENTO
LEGAL: Inexigibilidade de Licitacao com base no caput do artigo 25 da Lei 8.666/1993; DO
OBJETO: Prestacao e utilizacao de servico publico de energia eletrica entre a distribuidora e o
consumidor, de acordo com o Projeto Basico que integra o presente termo. DO VALOR: O valor
anual estimado do contrato e de R$ 133.242,81 (cento e trinta e tres mil, duzentos e quarenta e dois
reais e oitenta e um centavos); DA DOTACAO ORCAMENTARIA: Unidade Orcamentaria: 09117;
Programa de Trabalho: 04.128.6001.8517.0055; Natureza da Despesa: 3.3.90.39; Fonte de Recursos:
100 e 120; Nota de Empenho no 2019NE00204, no valor inicial de R$ 9.993,20 (nove mil, novecentos
e noventa e tres reais e vinte centavos); DA VIGENCIA: O Contrato tera vigencia de 12 (doze) meses
a contar da data da assinatura, permitida a prorrogacao na forma da Lei vigente. DATA DE
ASSINATURA: 08 de outubro de 2019. SIGNATARIOS: Pela Administracao Regional do Recanto das
Emas - RA-XV, CARLOS DALVAN SOARES DE OLIVEIRA, na qualidade de Administrador
Regional, e pela contratada, SELMA BATISTA DO REGO LEAL, na qualidade de Gerente de
Grandes Clientes.","Prestacao e utilizacao de servico publico de energia eletrica entre a distribuidora e o
consumidor, de acordo com o Projeto Basico que integra o presente termo","133.242,81",10_11.10.2019-R1,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO No 17/2019
Extrato do Contrato no 17/2019, celebrado entre a Companhia de Planejamento do Distrito Federal -
CODEPLAN e a Empresa ELEBRASIL Elevadores LTDA. CNPJ n 02.633.335/0001-72. Processo no.
00121.0000.0393/2019-21. Objeto: Contratacao de empresa especializada na prestacao de servico de
manutencao preventiva e corretiva, com fornecimento e reposicao de pecas, nos elevadores social, servico
e privativo, instalados no edificio sede da CODEPLAN. Programa de Trabalho no: 04.122.6003.2396.0033,
Natureza de Despesa 33.9039, Fonte: 100, Nota de Empenho: 2019NE00469, Valor: R$ 10.000,00 (dez mil
reais), e Programa de Trabalho no: 04122600385170104, Natureza de Despesa 339039, Fonte 100, Nota de
Empenho: 2019NE00470, Valor: R$ 10.000,00 (dez mil reais). Data da Assinatura: 09/10/2019, Assinam
pela Contratante: JEANSLEY CHARLLES DE LIMA, Presidente e JULIANA DIAS GUERRA NELSON
FERREIRA CRUZ, Diretora Administrativa e Financeira - Pela contratada: FERNANDO JOSE
FONSECA NUNES, Diretor Tecnico.","Contratacao de empresa especializada na prestacao de servico de
manutencao preventiva e corretiva, com fornecimento e reposicao de pecas, nos elevadores social, servico
e privativo, instalados no edificio sede da CODEPLAN","10.000,00",10_11.10.2019-R10,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DE CONTRATO
Contrato de prestacao de servicos no 002/2019. Objeto: a contratacao de Pessoa Juridica Especializada
para prestacao dos servicos continuado de limpeza e sanitizacao de 1.200 (um mil e duzentas) caixas
plasticas mensais CP 23 TAL, compreendendo fornecimento total de insumos e mao de obra, mediante
""menor preco por lote"" para a Ceasa/DF. Processo n 00071-00001158/2018-55. Partes CEASA/DF e
EMPRESA DEPOSITO DE CAIXAS DE BRASILIA LTDA, (CNPJ: 05.411.801/0001-63). Data de
Assinatura: 19/09/2019. Prazo de vigencia: O prazo de vigencia do contrato sera de 12 (doze) meses,
contados a partir da assinatura. Valor: R$ 9.072,00 (nove mil e senta e dois reais). Assinaturas: pela
CEASA/DF: Wilder da Silva Santos (Presidente); pela contratada: Marluce de Cerqueira Vilela
(Representante Legal).","a contratacao de Pessoa Juridica Especializada
para prestacao dos servicos continuado de limpeza e sanitizacao de 1.200 (um mil e duzentas) caixas
plasticas mensais CP 23 TAL, compreendendo fornecimento total de insumos e mao de obra, mediante
""menor preco por lote"" para a Ceasa/DF","9.072,00",10_11.10.2019-R11,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO N 57/2019
Processo: 00054-00018200/2019-48. Partes: DF/PMDF X SMART PROJETOS LTDA-ME. OBJETO:
Prestacao de Servicos Tecnicos Profissionais Especializados visando a ELABORACAO DE
PROJETOS e ESTUDOS TECNICOS com modelagem em software de tecnologia BIM (building
information modeling), destinados a obra de construcao do Centro de Assistencia Social (CASO) da
PMDF. VALOR: R$ 200.500,00 (duzentos mil e quinhentos reais), procedentes do Orcamento do
Distrito Federal para o corrente exercicio. NOTA DE EMPENHO: 2019NE000719, de 26/09/2019.
FONTE DE RECURSO: 0100000000. UG/UO: 170393/00001. PROGRAMA DE TRABALHO:
28845090300NR0053. NATUREZA DA DESPESA: 44.90.51. BASE LEGAL: Edital De Pregao
Eletronico n. 24/2019-PMDF. ASSINATURA: 03/10/2019. VIGENCIA: 12 (doze) meses a contar da
data de sua assinatura. SIGNATARIOS: Pelo DISTRITO FEDERAL: STEFANO ENES LOBAO,
Chefe do Departamento de Logistica e Financas. Pela Contratada: THIAGO PEREIRA GONCALVES,
na qualidade de Socio administrador.","Prestacao de Servicos Tecnicos Profissionais Especializados visando a ELABORACAO DE
PROJETOS e ESTUDOS TECNICOS com modelagem em software de tecnologia BIM (building
information modeling), destinados a obra de construcao do Centro de Assistencia Social (CASO) da
PMDF.","200.500,00",10_11.10.2019-R14,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS N 12/2019
Processo: 00400-00020718/2019-55. PARTES: Secretaria de Estado de Justica e Cidadania x
CONTCORTE SERVICOS GRAFICOS E IMPRESSAO DIGITAL EIRELI-ME. OBJETO: Contratacao
de empresa especializada em servicos graficos, para execucao de servicos especializadas na prestacao
de servicos graficos (producao grafica, impressao e acabamento) por demanda, para suprir as
necessidades da Secretaria de Estado de Justica e Cidadania do Distrito Federal - SEJUS/DF. VALOR:
O valor total do Contrato e de R$ 494.959,00 (quatrocentos e noventa e quatro mil novecentos e
cinquenta e nove reais), conforme Nota de Empenho n 2019NE00726, emitida em 03/10/2019, sob
o evento n 400091, na modalidade global. DOTACAO ORCAMENTARIA: A despesa correra a conta
das seguintes Dotacoes Orcamentarias: a) I - Unidade Orcamentaria: 44101; II - Programa de
Trabalho: 14.122.6002.8517.7250; III - Natureza da Despesa: 339039; IV - Fonte de Recursos:
100000000. DA VIGENCIA: O contrato tera vigencia de 12 (doze) meses. DATA DE A S S I N AT U R A :
03/10/2019. SIGNATARIOS: Pelo DISTRITO FEDERAL: MAURICIO ANTONIO DO AMARAL
CARVALHO, na qualidade de Secretario Executivo de Estado de Justica e Cidadania do Distrito
Federal. Pela CONTRATADA: LUIS FERNANDO DA SILVA VIEIRA, na qualidade de Socio
A d m i n i s t r a d o r.","Contratacao
de empresa especializada em servicos graficos, para execucao de servicos especializadas na prestacao
de servicos graficos (producao grafica, impressao e acabamento) por demanda, para suprir as
necessidades da Secretaria de Estado de Justica e Cidadania do Distrito Federal - SEJUS/DF.","494.959,00",10_11.10.2019-R15,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS N 32/2019
Processo: 00220-00003406/2019-03 - DAS PARTES: DISTRITO FEDERAL/SECRETARIA DE ESTADO
DE ESPORTE E LAZER DO DISTRITO FEDERAL X LEG ASSESSORIA ESPORTIVA EIRELI. DO
OBJETO: a prestacao de servicos tecnicos, conforme descritos no Grupo 11, itens 76, 78, 79, 80, 81, 82,
bem como seguro individual contra acidentes pessoais dos participantes devidamente inscritos, conforme
descricao do Grupo 15, item 90, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho
Fundo I. VALOR DO CONTRATO: R$6.305,00 (seis mil, trezentos e cinco reais), procedentes do
Orcamento do Distrito Federal para o corrente exercicio, nos termos da correspondente Lei Orcamentaria
Anual. DA DOTACAO ORCAMENTARIA: Unidade Orcamentaria: 340101, Nota de Empenho: n
2019NE00698, emitida em 08/10/2019, sob o Evento n 400091, na modalidade Ordinario, sob o Programa
de Trabalho 27812620636785876. Fonte de Recurso 100. Natureza da Despesa: 339039. VIGENCIA:
09/10/2019 a 08/10/2020. SIGNATARIOS: Pelo DISTRITO FEDERAL: Leandro Cruz Froes da Silva, na
qualidade de Secretario de Estado. Pela CONTRATADA: FABIO HENRIQUE AVELAR FABRINO, na
qualidade de Proprietario.","a prestacao de servicos tecnicos, conforme descritos no Grupo 11, itens 76, 78, 79, 80, 81, 82,
bem como seguro individual contra acidentes pessoais dos participantes devidamente inscritos, conforme
descricao do Grupo 15, item 90, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho
Fundo I.","6.305,00",10_11.10.2019-R16,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS N 33/2019
Processo: 00220-00003406/2019-03 - DAS PARTES: DISTRITO FEDERAL/SECRETARIA DE ESTADO
DE ESPORTE E LAZER DO DISTRITO FEDERAL X CCS SERVICOS E ORGANIZACAO E
EVENTOS EIRELI. DO OBJETO: prestacao de servicos de locacao de veiculo tipo Van com capacidade
minima de 15 passageiros, quilometragem livre, seguro total e despesas com motorista, conforme descricao
do Lote 13, item 86 do Edital, e locacao de veiculo tipo Caminhao com carroceria fechada, veiculo tipo
misto, carga/passageiro, cabine simples, conforme descricao no Lote 13, item 87 do Edital, a fim de
atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I. VALOR DO CONTRATO: R$
655,98 (seiscentos e cinquenta e cinco reais e noventa e oito centavos), procedentes do Orcamento do
Distrito Federal para o corrente exercicio, nos termos da correspondente Lei Orcamentaria Anual. DA
DOTACAO ORCAMENTARIA: Unidade Orcamentaria: 340101, Nota de Empenho: n 2019NE00699,
emitida em 08/10/2019, sob o Evento n 400091, na Modalidade Ordinario, sob o Programa de Trabalho
27812620636785876. Fonte de Recurso 100. Natureza da Despesa: 339039. VIGENCIA: 09/10/2019 a
08/10/2020. SIGNATARIOS: Pelo DISTRITO FEDERAL: Leandro Cruz Froes da Silva, na qualidade de
Secretario de Estado. Pela CONTRATADA: CRISNA CAROLINA DA SILVA SANTOS, na qualidade de
Proprietaria.","prestacao de servicos de locacao de veiculo tipo Van com capacidade
minima de 15 passageiros, quilometragem livre, seguro total e despesas com motorista, conforme descricao
do Lote 13, item 86 do Edital, e locacao de veiculo tipo Caminhao com carroceria fechada, veiculo tipo
misto, carga/passageiro, cabine simples, conforme descricao no Lote 13, item 87 do Edital, a fim de
atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","655,98",10_11.10.2019-R17,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS N 34/2019
Processo: 00220-00003406/2019-03 - DAS PARTES: DISTRITO FEDERAL/ SECRETARIA DE
ESTADO DE ESPORTE E LAZER DO DISTRITO FEDERAL X TECHNOSPORT SERVICOS DE
CRONOMETRAGEM LTDA ME. DO OBJETO: prestacao de servicos de cronometragem com chip e
controle de inscricoes online, conforme descricao contida no Lote 17, item 97 do Edital e confeccao de
numero de peito em papel Tyvek, medindo 1, 5 x 21 cm, conforme descricao contida no Lote 17, item 98
do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I. VALOR DO
CONTRATO: R$4.485,00 (quatro mil, quatrocentos e oitenta e cinco reais), procedentes do Orcamento do
Distrito Federal para o corrente exercicio, nos termos da correspondente Lei Orcamentaria Anual. DA
DOTACAO ORCAMENTARIA: Unidade Orcamentaria: 340101, Nota de Empenho: n n 2019NE00700,
emitida em 08/10/2019, sob o Evento n 400091, na Modalidade Ordinario, sob o Programa de Trabalho
27812620636785876. Fonte de Recurso 100. Natureza da Despesa: 339039. VIGENCIA: 09/10/2019 a
08/10/2020. SIGNATARIOS: Pelo DISTRITO FEDERAL: Leandro Cruz Froes da Silva, na qualidade de
Secretario de Estado. Pela CONTRATADA: RAFAEL NAVES CAVALCANTE, na qualidade de Socio.","prestacao de servicos de cronometragem com chip e
controle de inscricoes online, conforme descricao contida no Lote 17, item 97 do Edital e confeccao de
numero de peito em papel Tyvek, medindo 1, 5 x 21 cm, conforme descricao contida no Lote 17, item 98
do Edital, a fim de atender as demandas da Corrida de Reis - Etapa Regional Riacho Fundo I.","4.485,00",10_11.10.2019-R18,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DO CONTRATO DE PRESTACAO DE SERVICOS N 35/2019
Processo: 00220-00003406/2019-03 - DAS PARTES: DISTRITO FEDERAL/SECRETARIA DE ESTADO
DE ESPORTE E LAZER DO DISTRITO FEDERAL X STAR LOCACAO DE SERVICOS GERAIS
LTDA-EPP. DO OBJETO: prestacao de servicos, locacao e fornecimento de materiais, conforme descritos
nos itens 7, 8, 11, 14, 25, 28,99, 104, do Edital, a fim de atender as demandas da Corrida de Reis - Etapa
Regional Riacho Fundo I. VALOR DO CONTRATO: R$ 17.227,62 (dezessete mil, duzentos e vinte e sete
reais e sessenta e dois centavos), procedentes do Orcamento do Distrito Federal para o corrente exercicio,
nos termos da correspondente Lei Orcamentaria Anual. DA DOTACAO ORCAMENTARIA: Unidade
Orcamentaria: 340101, Nota de Empenho: n 2019NE00697, emitida em 08/10/2019, sob o Evento n
400091, na Modalidade Ordinario, sob o Programa de Trabalho 27812620636785876. Fonte de Recurso
100. Natureza da Despesa: 339039. VIGENCIA: 10/10/2019 a 09/10/2020. SIGNATARIOS: Pelo
DISTRITO FEDERAL: Leandro Cruz Froes da Silva, na qualidade de Secretario de Estado. Pela
CONTRATADA: MIGUEL MENDONCA DE SOUSA, na qualidade de Socio.","prestacao de servicos, locacao e fornecimento de materiais, conforme descritos
nos itens 7, 8, 11, 14, 25, 28,99, 104, do Edital, a fim de atender as demandas da Corrida de Reis - Etapa
Regional Riacho Fundo I","17.227,62",10_11.10.2019-R19,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
"EXTRATO DE CONTRATO DE PRESTACAO DE SERVICOS No 01/2016,
NOS TERMOS DO PADRAO No 05/2002
Processo: 305.000.016/2016; Partes: ADMINISTRACAO REGIONAL DO PARK WAY - RA XXIV
e FUNDACAO DE AMPARO AO TRABALHADOR PRESO - FUNAP; Fundamento Legal: Dispensa
de Licitacao com base no inciso XIII, do artigo 24, da Lei no 8.666/93 e alteracoes; Objeto:
Contratacao de 12 sentenciados junto a FUNAP, Valor: o valor total do contrato e de R$ 286.696,80;
Dotacao Orcamentaria: U.O: 190126; Programa de Trabalho: 04.421.6211.2426.8494; Natureza de
Despesa: 33.91.39; Fonte de Recurso: 120; Vigencia: O Contrato tera vigencia de 12 meses; Data de
assinatura: 06 de Outubro de 2019; Signatarios: Pela Administracao regional do Park Way, ALINE
GOMES DE FARIA e pela contratada FUNAP, DEUSELITA PEREIRA MARTINS.",Contratacao de 12 sentenciados junto a FUNAP,"286.696,80",10_11.10.2019-R2,10_11.10.2019,DODF 195 11-10-2019 INTEGRA.pdf
