id_ato_linkado,pdf,status_validacao,motivo_falha
637-R182,DODF 191 08-10-2021 INTEGRA.pdf,validado,
631-R14,DODF 011 17-01-2022 INTEGRA.pdf,validado,
638-R24,DODF 053 18-03-2022 INTEGRA.pdf,validado,
24_24.12.2019-R35,DODF 244 24-12-2019 INTEGRA.pdf,validado,
13_26.11.2019-R8,DODF 224 26-11-2019 INTEGRA.pdf,validado,
6_24.7.2019-R3,DODF 138 24-07-2019 INTEGRA.pdf,validado,
5_21.5.2019-R4,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R7,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R6,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R9,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R10,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R8,DODF 094 21-05-2019 INTEGRA.pdf,validado,
8_13.8.2019-R5,DODF 152 13-08-2019 INTEGRA.pdf,validado,
5_21.5.2019-R12,DODF 094 21-05-2019 INTEGRA.pdf,validado,
5_21.5.2019-R11,DODF 094 21-05-2019 INTEGRA.pdf,validado,
15_28.11.2019-R32,DODF 226 28-11-2019 INTEGRA.pdf,validado,
5_21.5.2019-R5,DODF 094 21-05-2019 INTEGRA.pdf,validado,
211_193.9.10.2019-R18,DODF 193 09-10-2019 INTEGRA.pdf,validado,
626-R147,DODF 236 20-12-2021 INTEGRA.pdf,validado,
633-R179,DODF 184 29-09-2021 INTEGRA.pdf,validado,
626-R160,DODF 236 20-12-2021 INTEGRA.pdf,validado,
634-R95,DODF 232 14-12-2021 INTEGRA.pdf,validado,
625-R81,DODF 233 15-12-2021 INTEGRA.pdf,validado,
626-R146,DODF 236 20-12-2021 INTEGRA.pdf,validado,
640-R5,DODF 055 22-03-2022 INTEGRA.pdf,validado,
636-R177,DODF 181 24-09-2021 INTEGRA.pdf,validado,
628-R218,DODF 019 27-01-2022 INTEGRA.pdf,validado,
637-R159,DODF 191 08-10-2021 INTEGRA.pdf,validado,
665-R49,DODF 125 06-07-2021 INTEGRA.pdf,validado,
630-R63,DODF 226 06-12-2021 INTEGRA.pdf,validado,
633-R94,DODF 184 29-09-2021 INTEGRA.pdf,validado,
667-R51,DODF 110 15-06-2021 INTEGRA.pdf,validado,
625-R86,DODF 233 15-12-2021 INTEGRA.pdf,validado,
1_9.2.2018.1-R2,DODF 029 09-02-2018 INTEGRA.pdf,validado,
629-R70,DODF 143 30-07-2021 INTEGRA.pdf,validado,
664-R7,DODF 102 01-06-2021 INTEGRA.pdf,validado,
10_11.10.2019-R2,DODF 195 11-10-2019 INTEGRA.pdf,validado,
15_28.11.2019-R33,DODF 226 28-11-2019 INTEGRA.pdf,validado,
668-R13,DODF 107 10-06-2021 INTEGRA.pdf,validado,
638-R28,DODF 053 18-03-2022 INTEGRA.pdf,validado,
633-R96,DODF 184 29-09-2021 INTEGRA.pdf,validado,
669-R8,DODF 123 02-07-2021 INTEGRA.pdf,validado,
634-R91,DODF 232 14-12-2021 INTEGRA.pdf,validado,
625-R207,DODF 233 15-12-2021 INTEGRA.pdf,validado,
634-R96,DODF 232 14-12-2021 INTEGRA.pdf,validado,
671-R44,DODF 113 18-06-2021 INTEGRA.pdf,validado,
628-R91,DODF 019 27-01-2022 INTEGRA.pdf,validado,
665-R52,DODF 125 06-07-2021 INTEGRA.pdf,validado,
669-R6,DODF 123 02-07-2021 INTEGRA.pdf,validado,
665-R51,DODF 125 06-07-2021 INTEGRA.pdf,validado,
665-R50,DODF 125 06-07-2021 INTEGRA.pdf,validado,
629-R71,DODF 143 30-07-2021 INTEGRA.pdf,validado,
638-R27,DODF 053 18-03-2022 INTEGRA.pdf,validado,
625-R208,DODF 233 15-12-2021 INTEGRA.pdf,validado,
629-R73,DODF 143 30-07-2021 INTEGRA.pdf,validado,
626-R141,DODF 236 20-12-2021 INTEGRA.pdf,validado,
636-R92,DODF 181 24-09-2021 INTEGRA.pdf,validado,
625-R85,DODF 233 15-12-2021 INTEGRA.pdf,validado,
626-R162,DODF 236 20-12-2021 INTEGRA.pdf,validado,
626-R135,DODF 236 20-12-2021 INTEGRA.pdf,validado,
629-R72,DODF 143 30-07-2021 INTEGRA.pdf,validado,
632-R70,DODF 173 14-09-2021 INTEGRA.pdf,validado,
636-R87,DODF 181 24-09-2021 INTEGRA.pdf,validado,
4_15.4.2019-R3,DODF 071 15-04-2019 INTEGRA.pdf,validado,
4_15.4.2019-R4,DODF 071 15-04-2019 INTEGRA.pdf,validado,
667-R57,DODF 113 18-06-2021 INTEGRA.pdf,validado,
636-R81,DODF 181 24-09-2021 INTEGRA.pdf,validado,
630-R64,DODF 226 06-12-2021 INTEGRA.pdf,validado,
664-R8,DODF 102 01-06-2021 INTEGRA.pdf,validado,
671-R43,DODF 113 18-06-2021 INTEGRA.pdf,validado,
670-R10,DODF 126 07-07-2021 INTEGRA.pdf,validado,
671-R80,DODF 113 18-06-2021 INTEGRA.pdf,validado,
627-R102,DODF 126 07-07-2021 INTEGRA.pdf,validado,
638-R26,DODF 053 18-03-2022 INTEGRA.pdf,validado,
671-R82,DODF 113 18-06-2021 INTEGRA.pdf,validado,
625-R84,DODF 233 15-12-2021 INTEGRA.pdf,validado,
637-R160,DODF 191 08-10-2021 INTEGRA.pdf,validado,
24_24.12.2019-R19,DODF 244 24-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R24,DODF 242 20-12-2019 INTEGRA.pdf,validado,
10_11.10.2019-R8,DODF 195 11-10-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R48,DODF 109 11-06-2019 INTEGRA.pdf,validado,
11_30.10.2019-R3,DODF 207 30-10-2019 INTEGRA.pdf,validado,
15_28.11.2019-R26,DODF 226 28-11-2019 INTEGRA.pdf,validado,
634-R92,DODF 232 14-12-2021 INTEGRA.pdf,validado,
667-R59,DODF 110 15-06-2021 INTEGRA.pdf,validado,
672-R88,DODF 117 24-06-2021 INTEGRA.pdf,validado,
627-R62,DODF 235 17-12-2021 INTEGRA.pdf,validado,
10_11.10.2019-R1,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R10,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R11,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R14,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R15,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R16,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R17,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R18,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R19,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R20,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R21,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R22,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R23,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R24,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R25,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R3,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R4,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R58,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R59,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R60,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R61,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R7,DODF 195 11-10-2019 INTEGRA.pdf,validado,
10_11.10.2019-R9,DODF 195 11-10-2019 INTEGRA.pdf,validado,
11_30.10.2019-R1,DODF 207 30-10-2019 INTEGRA.pdf,validado,
11_30.10.2019-R2,DODF 207 30-10-2019 INTEGRA.pdf,validado,
11_30.10.2019-R32,DODF 207 30-10-2019 INTEGRA.pdf,validado,
12_16.1.2019-R19,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R20,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R21,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R22,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R23,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R24,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R25,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R26,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R27,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R28,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R29,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R30,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R31,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R32,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R33,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R34,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R35,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R36,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R37,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_16.1.2019-R38,DODF 011 16-01-2019 INTEGRA.pdf,validado,
12_22.11.2018-R1,DODF 222 22-11-2018 INTEGRA.pdf,validado,
12_22.11.2018-R2,DODF 222 22-11-2018 INTEGRA.pdf,validado,
12_22.11.2018-R4,DODF 222 22-11-2018 INTEGRA.pdf,validado,
12_22.11.2018-R5,DODF 222 22-11-2018 INTEGRA.pdf,validado,
12_22.11.2018-R6,DODF 222 22-11-2018 INTEGRA.pdf,validado,
12_22.11.2018-R7,DODF 222 22-11-2018 INTEGRA.pdf,validado,
13_26.11.2019-R10,DODF 224 26-11-2019 INTEGRA.pdf,validado,
13_26.11.2019-R12,DODF 224 26-11-2019 INTEGRA.pdf,validado,
13_26.11.2019-R6,DODF 224 26-11-2019 INTEGRA.pdf,validado,
13_26.11.2019-R7,DODF 224 26-11-2019 INTEGRA.pdf,validado,
13_26.11.2019-R9,DODF 224 26-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R18,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R19,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R20,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R21,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R22,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R23,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R24,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R25,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R27,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R28,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R29,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R30,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R31,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R34,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R35,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R36,DODF 226 28-11-2019 INTEGRA.pdf,validado,
15_28.11.2019-R37,DODF 226 28-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R25,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R26,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R27,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R28,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R29,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R30,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R31,DODF 102 31-05-2019 INTEGRA.pdf,validado,
16_29.11.2019-R34,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R35,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R36,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R37,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R38,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R39,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R40,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R44,DODF 227 29-11-2019 INTEGRA.pdf,validado,
16_29.11.2019-R45,DODF 227 29-11-2019 INTEGRA.pdf,validado,
18_6.12.2018-R15,DODF 231 06-12-2018 INTEGRA.pdf,validado,
18_6.12.2018-R16,DODF 231 06-12-2018 INTEGRA.pdf,validado,
19_12.12.2019-R13,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R14,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R15,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R16,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R17,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R18,DODF 236 12-12-2019 INTEGRA.pdf,validado,
19_12.12.2019-R19,DODF 236 12-12-2019 INTEGRA.pdf,validado,
1_31.5.2019-R1,DODF 195 11-10-2019 INTEGRA.pdf,validado,
1_31.5.2019-R10,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R2,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R29,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R4,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R5,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R6,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R7,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R8,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_31.5.2019-R9,DODF 102 31-05-2019 INTEGRA.pdf,validado,
1_9.2.2018.1-R1,DODF 029 09-02-2018 INTEGRA.pdf,validado,
1_9.2.2018.1-R3,DODF 029 09-02-2018 INTEGRA.pdf,validado,
1_9.2.2018.1-R4,DODF 029 09-02-2018 INTEGRA.pdf,validado,
1_9.2.2018.1-R5,DODF 029 09-02-2018 INTEGRA.pdf,validado,
211_193.9.10.2019-R17,DODF 193 09-10-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R43,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R44,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R45,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R46,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R47,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R49,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R51,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R52,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R53,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R54,DODF 109 11-06-2019 INTEGRA.pdf,validado,
214_109.11.6.2019-R55,DODF 109 11-06-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R21,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R22,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R23,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R24,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R25,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R26,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R27,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R28,DODF 238 16-12-2019 INTEGRA.pdf,validado,
21_16.12.2019.1-R29,DODF 238 16-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R23,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R25,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R26,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R27,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R28,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R29,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R30,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R31,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R32,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R33,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R34,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R35,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R36,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R37,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R38,DODF 242 20-12-2019 INTEGRA.pdf,validado,
22_20.12.2019.1-R39,DODF 242 20-12-2019 INTEGRA.pdf,validado,
235_129.10.7.2018-R38,DODF 129 10-07-2018 INTEGRA.pdf,validado,
