id_ato_linkado,pdf,status_validacao,motivo_falha
637-R182,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,Valor (28700000) E Processo (0005000030703201902) não encontrados no PDF
631-R14,DODF 011 17-01-2022 INTEGRA.pdf,invalidado,Valor (218518965) E Processo (0008000246856202174) não encontrados no PDF
638-R24,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,Valor (980019600) E Processo (0004000046573202173) não encontrados no PDF
24_24.12.2019-R35,DODF 244 24-12-2019 INTEGRA.pdf,invalidado,Valor (46000000) E Processo (0005300067614201929) não encontrados no PDF
13_26.11.2019-R8,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,Valor (1357086) E Processo (0005400048974201812) não encontrados no PDF
6_24.7.2019-R3,DODF 138 24-07-2019 INTEGRA.pdf,invalidado,Valor (681030) E Processo (03060000032018) não encontrados no PDF
5_21.5.2019-R4,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R7,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R6,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R9,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R10,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R8,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
8_13.8.2019-R5,DODF 152 13-08-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R12,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R11,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
15_28.11.2019-R32,DODF 226 28-11-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
5_21.5.2019-R5,DODF 094 21-05-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
211_193.9.10.2019-R18,DODF 193 09-10-2019 INTEGRA.pdf,invalidado,Valor (48316024) E Processo (00310000099172019) não encontrados no PDF
626-R147,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (7141400) E Processo (0410015022021) não encontrados no PDF
633-R179,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,Valor (800000) E Processo (0040000014941202188) não encontrados no PDF
626-R160,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (600000000) E Processo (0402600043410202122) não encontrados no PDF
634-R95,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,Valor (17973800) E Processo (0005300151034202133) não encontrados no PDF
625-R81,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (21909800) E Processo (0005500030448202173) não encontrados no PDF
626-R146,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (19108728) E Processo (0410014392021) não encontrados no PDF
640-R5,DODF 055 22-03-2022 INTEGRA.pdf,invalidado,Valor (39000000) E Processo (0401100002520202111) não encontrados no PDF
636-R177,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,Valor (122175000) E Processo (0011300009322202199) não encontrados no PDF
628-R218,DODF 019 27-01-2022 INTEGRA.pdf,invalidado,Valor (22100) E Processo (0040000013706202199) não encontrados no PDF
637-R159,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,Valor (6090004) E Processo (0040100004054202092) não encontrados no PDF
665-R49,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,Valor (5276700) E Processo (0000100013872202061) não encontrados no PDF
630-R63,DODF 226 06-12-2021 INTEGRA.pdf,invalidado,Valor (235900000) E Processo (0410010192020) não encontrados no PDF
633-R94,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,Valor (800000) E Processo (0004000028037202196) não encontrados no PDF
667-R51,DODF 110 15-06-2021 INTEGRA.pdf,invalidado,"Processo OK (0009200020263202121), mas Valor (151032000) não encontrado"
625-R86,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (8640000) E Processo (0043100013902202123) não encontrados no PDF
1_9.2.2018.1-R2,DODF 029 09-02-2018 INTEGRA.pdf,invalidado,Valor (172140000) E Processo (1600007521989) não encontrados no PDF
629-R70,DODF 143 30-07-2021 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
664-R7,DODF 102 01-06-2021 INTEGRA.pdf,invalidado,Valor (16219200) E Processo (0009200043586202076) não encontrados no PDF
10_11.10.2019-R2,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,Valor (28669680) E Processo (3050000162016) não encontrados no PDF
15_28.11.2019-R33,DODF 226 28-11-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
668-R13,DODF 107 10-06-2021 INTEGRA.pdf,invalidado,Valor (660000) E Processo (0400800000300202194) não encontrados no PDF
638-R28,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,Valor (57024000) E Processo (0039200007703202181) não encontrados no PDF
633-R96,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,Valor (8800336) E Processo (0019300000138202195) não encontrados no PDF
669-R8,DODF 123 02-07-2021 INTEGRA.pdf,invalidado,Valor (4005000) E Processo (0009700004335202036) não encontrados no PDF
634-R91,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,Valor (24462729) E Processo (0036700000405202131) não encontrados no PDF
625-R207,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (33000000) E Processo (0005200003696202045) não encontrados no PDF
634-R96,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,Valor (833729870) E Processo (0005300073141202113) não encontrados no PDF
671-R44,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,Valor (45000000) E Processo (0009300000760202069) não encontrados no PDF
628-R91,DODF 019 27-01-2022 INTEGRA.pdf,invalidado,Valor (495960603) E Processo (0410011502020) não encontrados no PDF
665-R52,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,Valor (152229) E Processo (0009200033837202030) não encontrados no PDF
669-R6,DODF 123 02-07-2021 INTEGRA.pdf,invalidado,Valor (21319226) E Processo (0000100008106202166) não encontrados no PDF
665-R51,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,Valor (1652440) E Processo (0009200000928201921) não encontrados no PDF
665-R50,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,Valor (2451845) E Processo (0009200000706201916) não encontrados no PDF
629-R71,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,Valor (20040000) E Processo (0410008012021) não encontrados no PDF
638-R27,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,Valor (14213728) E Processo (0401100002520202111) não encontrados no PDF
625-R208,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (195822387) E Processo (0005200003696202045) não encontrados no PDF
629-R73,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,Valor (6958000) E Processo (0007000003279202165) não encontrados no PDF
626-R141,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (3700000) E Processo (0007000004017202118) não encontrados no PDF
636-R92,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,Valor (876464864) E Processo (0043100014392202110) não encontrados no PDF
625-R85,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,Valor (15677300) E Processo (0043100023006202172) não encontrados no PDF
626-R162,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (143955) E Processo (0040000007725202186) não encontrados no PDF
626-R135,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,Valor (17021000) E Processo (0410004922021) não encontrados no PDF
629-R72,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,Valor (27317217) E Processo (0007000003276202121) não encontrados no PDF
632-R70,DODF 173 14-09-2021 INTEGRA.pdf,invalidado,Valor (319778) E Processo (0009400001986202130) não encontrados no PDF
636-R87,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,Valor (85455000) E Processo (0043100017586202169) não encontrados no PDF
4_15.4.2019-R3,DODF 071 15-04-2019 INTEGRA.pdf,invalidado,Valor (104730048) E Processo (0011300001155201913) não encontrados no PDF
