id_ato_linkado,pdf,status_validacao,fuzzy_score_calculado,motivo_falha
637-R182,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,0.29677048957418295,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.29677048957418295%)"
631-R14,DODF 011 17-01-2022 INTEGRA.pdf,invalidado,0.41957849557034965,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.41957849557034965%)"
638-R24,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,0.5835872102553097,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.5835872102553097%)"
24_24.12.2019-R35,DODF 244 24-12-2019 INTEGRA.pdf,invalidado,0.3170170863524113,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3170170863524113%)"
13_26.11.2019-R8,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,0.21050506370079436,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.21050506370079436%)"
6_24.7.2019-R3,DODF 138 24-07-2019 INTEGRA.pdf,invalidado,0.23106346791706978,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.23106346791706978%)"
5_21.5.2019-R4,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.19022577879393987,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.19022577879393987%)"
5_21.5.2019-R7,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.18063170795282746,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18063170795282746%)"
5_21.5.2019-R6,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.18931209745457478,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18931209745457478%)"
5_21.5.2019-R9,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.18428670071931608,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18428670071931608%)"
5_21.5.2019-R10,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.17926105119229208,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.17926105119229208%)"
5_21.5.2019-R8,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.18154546867997778,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18154546867997778%)"
8_13.8.2019-R5,DODF 152 13-08-2019 INTEGRA.pdf,invalidado,0.19279684447229828,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.19279684447229828%)"
5_21.5.2019-R12,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.19342359767892114,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.19342359767892114%)"
5_21.5.2019-R11,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.18428670071931608,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18428670071931608%)"
15_28.11.2019-R32,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,0.17996991597508671,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.17996991597508671%)"
5_21.5.2019-R5,DODF 094 21-05-2019 INTEGRA.pdf,invalidado,0.1865710032992851,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1865710032992851%)"
211_193.9.10.2019-R18,DODF 193 09-10-2019 INTEGRA.pdf,invalidado,0.1784071421737088,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1784071421737088%)"
626-R147,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.22824392466058718,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.22824392466058718%)"
633-R179,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,0.2735365024417402,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2735365024417402%)"
626-R160,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.608854346936849,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.608854346936849%)"
634-R95,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,0.1658613722217317,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1658613722217317%)"
625-R81,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.20724501408941887,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.20724501408941887%)"
626-R146,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.22792902989874353,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.22792902989874353%)"
640-R5,DODF 055 22-03-2022 INTEGRA.pdf,invalidado,0.5015787988248532,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.5015787988248532%)"
636-R177,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,0.198211335465881,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.198211335465881%)"
628-R218,DODF 019 27-01-2022 INTEGRA.pdf,invalidado,0.6911700244355501,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.6911700244355501%)"
637-R159,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,0.21915572147575002,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.21915572147575002%)"
665-R49,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,0.49292397171111224,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.49292397171111224%)"
630-R63,DODF 226 06-12-2021 INTEGRA.pdf,invalidado,0.17008386505861228,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.17008386505861228%)"
633-R94,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,0.2675346374072851,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2675346374072851%)"
667-R51,DODF 110 15-06-2021 INTEGRA.pdf,invalidado,0.4003649250850949,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.4003649250850949%)"
625-R86,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.3584218817296314,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3584218817296314%)"
1_9.2.2018.1-R2,DODF 029 09-02-2018 INTEGRA.pdf,invalidado,0.2707063600700499,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2707063600700499%)"
629-R70,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,0.1485404130255552,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1485404130255552%)"
664-R7,DODF 102 01-06-2021 INTEGRA.pdf,invalidado,0.12531508408469838,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.12531508408469838%)"
10_11.10.2019-R2,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.18269231931040686,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.18269231931040686%)"
15_28.11.2019-R33,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,0.17596668987289732,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.17596668987289732%)"
668-R13,DODF 107 10-06-2021 INTEGRA.pdf,invalidado,0.6736439254891202,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.6736439254891202%)"
638-R28,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,0.3426527719222805,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3426527719222805%)"
633-R96,DODF 184 29-09-2021 INTEGRA.pdf,invalidado,0.2126437127111247,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2126437127111247%)"
669-R8,DODF 123 02-07-2021 INTEGRA.pdf,invalidado,0.25527551652216873,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.25527551652216873%)"
634-R91,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,0.27885479883119624,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.27885479883119624%)"
625-R207,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.47496344167177185,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.47496344167177185%)"
634-R96,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,0.19628625469195748,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.19628625469195748%)"
671-R44,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,0.32246253671623926,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.32246253671623926%)"
628-R91,DODF 019 27-01-2022 INTEGRA.pdf,invalidado,0.32414281693694535,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.32414281693694535%)"
665-R52,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,0.2640835006878395,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2640835006878395%)"
669-R6,DODF 123 02-07-2021 INTEGRA.pdf,invalidado,0.3576283402213276,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3576283402213276%)"
665-R51,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,0.45038871248981316,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.45038871248981316%)"
665-R50,DODF 125 06-07-2021 INTEGRA.pdf,invalidado,0.455326771196396,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.455326771196396%)"
629-R71,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,0.15881017168137834,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.15881017168137834%)"
638-R27,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,0.43751608515019136,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.43751608515019136%)"
625-R208,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.614575093210068,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.614575093210068%)"
629-R73,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,0.3154153763773482,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3154153763773482%)"
626-R141,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.5190970418708862,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.5190970418708862%)"
636-R92,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,0.39987403401534616,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.39987403401534616%)"
625-R85,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.37726610386469295,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.37726610386469295%)"
626-R162,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.4521972978377309,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.4521972978377309%)"
626-R135,DODF 236 20-12-2021 INTEGRA.pdf,invalidado,0.21155313420224697,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.21155313420224697%)"
629-R72,DODF 143 30-07-2021 INTEGRA.pdf,invalidado,0.4227714993359055,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.4227714993359055%)"
632-R70,DODF 173 14-09-2021 INTEGRA.pdf,invalidado,0.6068241218571191,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.6068241218571191%)"
636-R87,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,0.39761296286227044,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.39761296286227044%)"
4_15.4.2019-R3,DODF 071 15-04-2019 INTEGRA.pdf,invalidado,0.2530217422171521,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2530217422171521%)"
4_15.4.2019-R4,DODF 071 15-04-2019 INTEGRA.pdf,invalidado,0.2197996215557163,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2197996215557163%)"
667-R57,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,0.2660574716985442,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2660574716985442%)"
636-R81,DODF 181 24-09-2021 INTEGRA.pdf,invalidado,0.14812865642999107,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.14812865642999107%)"
630-R64,DODF 226 06-12-2021 INTEGRA.pdf,invalidado,0.13694942594854043,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.13694942594854043%)"
664-R8,DODF 102 01-06-2021 INTEGRA.pdf,invalidado,0.0827945459092927,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.0827945459092927%)"
671-R43,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,0.25129507297412257,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.25129507297412257%)"
670-R10,DODF 126 07-07-2021 INTEGRA.pdf,invalidado,0.37908472341431354,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.37908472341431354%)"
671-R80,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,0.5500542838306366,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.5500542838306366%)"
627-R102,DODF 126 07-07-2021 INTEGRA.pdf,invalidado,0.2952440507857146,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2952440507857146%)"
638-R26,DODF 053 18-03-2022 INTEGRA.pdf,invalidado,0.23752027698431544,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.23752027698431544%)"
671-R82,DODF 113 18-06-2021 INTEGRA.pdf,invalidado,0.19419326008096593,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.19419326008096593%)"
625-R84,DODF 233 15-12-2021 INTEGRA.pdf,invalidado,0.42612672920456784,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.42612672920456784%)"
637-R160,DODF 191 08-10-2021 INTEGRA.pdf,invalidado,0.21721457928709498,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.21721457928709498%)"
24_24.12.2019-R19,DODF 244 24-12-2019 INTEGRA.pdf,invalidado,0.25152478757233254,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.25152478757233254%)"
22_20.12.2019.1-R24,DODF 242 20-12-2019 INTEGRA.pdf,invalidado,0.12495644861723054,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.12495644861723054%)"
10_11.10.2019-R8,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.11820816724159577,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.11820816724159577%)"
214_109.11.6.2019-R48,DODF 109 11-06-2019 INTEGRA.pdf,invalidado,0.13381826967866495,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.13381826967866495%)"
11_30.10.2019-R3,DODF 207 30-10-2019 INTEGRA.pdf,invalidado,0.1491979386525455,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1491979386525455%)"
15_28.11.2019-R26,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,0.1893101531342145,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1893101531342145%)"
634-R92,DODF 232 14-12-2021 INTEGRA.pdf,invalidado,0.2573420940481186,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2573420940481186%)"
667-R59,DODF 110 15-06-2021 INTEGRA.pdf,invalidado,0.4115702827308887,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.4115702827308887%)"
672-R88,DODF 117 24-06-2021 INTEGRA.pdf,invalidado,0.4830739881032775,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.4830739881032775%)"
627-R62,DODF 235 17-12-2021 INTEGRA.pdf,invalidado,0.34693205702853724,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.34693205702853724%)"
10_11.10.2019-R1,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.31057138130606843,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.31057138130606843%)"
10_11.10.2019-R10,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.23579407156688603,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.23579407156688603%)"
10_11.10.2019-R11,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.1870380685298767,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.1870380685298767%)"
10_11.10.2019-R14,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.2321743941359644,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.2321743941359644%)"
10_11.10.2019-R15,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.3110536338092107,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3110536338092107%)"
10_11.10.2019-R16,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.27801395142122987,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.27801395142122987%)"
10_11.10.2019-R17,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.32093929683142397,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.32093929683142397%)"
10_11.10.2019-R18,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.291520544107271,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.291520544107271%)"
10_11.10.2019-R19,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.262575608247817,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.262575608247817%)"
10_11.10.2019-R20,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.328172088710299,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.328172088710299%)"
10_11.10.2019-R21,DODF 195 11-10-2019 INTEGRA.pdf,invalidado,0.3110536338092107,"Valor OK, mas Extrato Fuzzy Score abaixo de 100% (Score: 0.3110536338092107%)"
