nome_do_pdf,quantidade_extratos_validos,quantidade_perguntas_validas
DODF 215 18-11-2021 INTEGRA.pdf,61,183
DODF 044 07-03-2022 INTEGRA.pdf,52,156
DODF 195 11-10-2019 INTEGRA.pdf,27,81
DODF 244 24-12-2019 INTEGRA.pdf,26,78
DODF 011 16-01-2019 INTEGRA.pdf,20,60
DODF 094 21-05-2019 INTEGRA.pdf,19,57
DODF 226 28-11-2019 INTEGRA.pdf,19,57
DODF 236 20-12-2021 INTEGRA.pdf,19,57
DODF 232 14-12-2021 INTEGRA.pdf,18,54
DODF 224 02-12-2021 INTEGRA.pdf,17,51
DODF 129 10-07-2018 INTEGRA.pdf,14,42
DODF 227 29-11-2019 INTEGRA.pdf,14,42
DODF 181 24-09-2021 INTEGRA.pdf,13,39
DODF 233 15-12-2021 INTEGRA.pdf,11,33
DODF 102 31-05-2019 INTEGRA.pdf,10,30
DODF 191 08-10-2021 INTEGRA.pdf,9,27
DODF 238 16-12-2019 INTEGRA.pdf,9,27
DODF 109 11-06-2019 INTEGRA.pdf,9,27
DODF 126 07-07-2021 INTEGRA.pdf,9,27
DODF 123 02-07-2021 INTEGRA.pdf,8,24
DODF 226 06-12-2021 INTEGRA.pdf,8,24
DODF 242 20-12-2019 INTEGRA.pdf,7,21
DODF 125 06-07-2021 INTEGRA.pdf,7,21
DODF 011 17-01-2022 INTEGRA.pdf,7,21
DODF 236 12-12-2019 INTEGRA.pdf,7,21
DODF 224 26-11-2019 INTEGRA.pdf,6,18
DODF 113 18-06-2021 INTEGRA.pdf,6,18
DODF 173 14-09-2021 INTEGRA.pdf,6,18
DODF 132 16-07-2019 INTEGRA.pdf,6,18
DODF 055 22-03-2022 INTEGRA.pdf,6,18
DODF 245 27-12-2018 INTEGRA.pdf,6,18
DODF 053 18-03-2022 INTEGRA.pdf,5,15
DODF 152 13-08-2019 INTEGRA.pdf,5,15
DODF 145 02-08-2019 INTEGRA.pdf,5,15
DODF 060 29-03-2019 INTEGRA.pdf,5,15
DODF 019 27-01-2022 INTEGRA.pdf,5,15
DODF 222 22-11-2018 INTEGRA.pdf,5,15
DODF 184 29-09-2021 INTEGRA.pdf,5,15
DODF 138 24-07-2019 INTEGRA.pdf,4,12
DODF 039 25-02-2019 INTEGRA.pdf,4,12
DODF 115 19-06-2019 INTEGRA.pdf,4,12
DODF 110 15-06-2021 INTEGRA.pdf,4,12
DODF 235 17-12-2021 INTEGRA.pdf,4,12
DODF 207 30-10-2019 INTEGRA.pdf,4,12
DODF 071 15-04-2019 INTEGRA.pdf,4,12
DODF 143 30-07-2021 INTEGRA.pdf,4,12
DODF 172 10-09-2018 INTEGRA.pdf,4,12
DODF 108 08-06-2018 INTEGRA.pdf,3,9
DODF 029 09-02-2018 INTEGRA.pdf,3,9
DODF 117 24-06-2021 INTEGRA.pdf,3,9
DODF 124 04-07-2019 INTEGRA.pdf,3,9
DODF 130 12-07-2019 INTEGRA.pdf,3,9
DODF 107 10-06-2021 INTEGRA.pdf,3,9
DODF 193 09-10-2019 INTEGRA.pdf,2,6
DODF 020 29-01-2019 INTEGRA.pdf,2,6
DODF 102 01-06-2021 INTEGRA.pdf,2,6
DODF 121 30-06-2021 INTEGRA.pdf,2,6
DODF 231 06-12-2018 INTEGRA.pdf,1,3
