arquivo_jsonl,chunk,vizinho,k,modelo,base,acertos,erros,acuracia
400_0_1_a_llama3,400,0,1,llama3,a,115,146,44.06%
400_0_1_b_llama3,400,0,1,llama3,b,69,192,26.44%
400_0_3_a_llama3,400,0,3,llama3,a,109,152,41.76%
400_0_3_b_llama3,400,0,3,llama3,b,52,209,19.92%
400_0_5_a_llama3,400,0,5,llama3,a,114,147,43.68%
400_0_5_b_llama3,400,0,5,llama3,b,72,189,27.59%
400_0_7_a_llama3,400,0,7,llama3,a,122,139,46.74%
400_0_7_b_llama3,400,0,7,llama3,b,71,190,27.20%
400_1_1_a_llama3,400,1,1,llama3,a,165,96,63.22%
400_1_1_b_llama3,400,1,1,llama3,b,136,125,52.11%
400_1_3_a_llama3,400,1,3,llama3,a,179,82,68.58%
400_1_3_b_llama3,400,1,3,llama3,b,163,98,62.45%
400_1_5_a_llama3,400,1,5,llama3,a,178,83,68.20%
400_1_5_b_llama3,400,1,5,llama3,b,170,91,65.13%
400_1_7_a_llama3,400,1,7,llama3,a,182,79,69.73%
400_1_7_b_llama3,400,1,7,llama3,b,177,84,67.82%
600_0_1_a_llama3,600,0,1,llama3,a,117,144,44.83%
600_0_1_b_llama3,600,0,1,llama3,b,69,192,26.44%
600_0_3_a_llama3,600,0,3,llama3,a,110,151,42.15%
600_0_3_b_llama3,600,0,3,llama3,b,52,209,19.92%
600_0_5_a_llama3,600,0,5,llama3,a,116,145,44.44%
600_0_5_b_llama3,600,0,5,llama3,b,68,193,26.05%
600_0_7_a_llama3,600,0,7,llama3,a,121,140,46.36%
600_0_7_b_llama3,600,0,7,llama3,b,74,187,28.35%
600_1_1_a_llama3,600,1,1,llama3,a,137,124,52.49%
600_1_1_b_llama3,600,1,1,llama3,b,150,111,57.47%
600_1_3_a_llama3,600,1,3,llama3,a,147,114,56.32%
600_1_3_b_llama3,600,1,3,llama3,b,185,76,70.88%
600_1_5_a_llama3,600,1,5,llama3,a,181,80,69.35%
600_1_5_b_llama3,600,1,5,llama3,b,216,45,82.76%
600_1_7_a_llama3,600,1,7,llama3,a,170,91,65.13%
600_1_7_b_llama3,600,1,7,llama3,b,211,50,80.84%
800_0_1_a_llama3,800,0,1,llama3,a,108,153,41.38%
800_0_1_b_llama3,800,0,1,llama3,b,97,164,37.16%
800_0_3_a_llama3,800,0,3,llama3,a,137,124,52.49%
800_0_3_b_llama3,800,0,3,llama3,b,103,158,39.46%
800_0_5_a_llama3,800,0,5,llama3,a,134,127,51.34%
800_0_5_b_llama3,800,0,5,llama3,b,101,160,38.70%
800_0_7_a_llama3,800,0,7,llama3,a,138,123,52.87%
800_0_7_b_llama3,800,0,7,llama3,b,114,147,43.68%
800_1_1_a_llama3,800,1,1,llama3,a,137,124,52.49%
800_1_1_b_llama3,800,1,1,llama3,b,167,94,63.98%
800_1_3_a_llama3,800,1,3,llama3,a,163,98,62.45%
800_1_3_b_llama3,800,1,3,llama3,b,191,70,73.18%
800_1_5_a_llama3,800,1,5,llama3,a,170,91,65.13%
800_1_5_b_llama3,800,1,5,llama3,b,201,60,77.01%
800_1_7_a_llama3,800,1,7,llama3,a,170,91,65.13%
800_1_7_b_llama3,800,1,7,llama3,b,203,58,77.78%
1000_0_1_a_llama3,1000,0,1,llama3,a,85,176,32.57%
1000_0_1_b_llama3,1000,0,1,llama3,b,92,169,35.25%
1000_0_3_a_llama3,1000,0,3,llama3,a,104,157,39.85%
1000_0_3_b_llama3,1000,0,3,llama3,b,103,158,39.46%
1000_0_5_a_llama3,1000,0,5,llama3,a,99,162,37.93%
1000_0_5_b_llama3,1000,0,5,llama3,b,117,144,44.83%
1000_0_7_a_llama3,1000,0,7,llama3,a,100,161,38.31%
1000_0_7_b_llama3,1000,0,7,llama3,b,114,147,43.68%
1000_1_1_a_llama3,1000,1,1,llama3,a,101,160,38.70%
1000_1_1_b_llama3,1000,1,1,llama3,b,143,118,54.79%
1000_1_3_a_llama3,1000,1,3,llama3,a,118,143,45.21%
1000_1_3_b_llama3,1000,1,3,llama3,b,178,83,68.20%
1000_1_5_a_llama3,1000,1,5,llama3,a,117,144,44.83%
1000_1_5_b_llama3,1000,1,5,llama3,b,190,71,72.80%
1000_1_7_a_llama3,1000,1,7,llama3,a,123,138,47.13%
1000_1_7_b_llama3,1000,1,7,llama3,b,193,68,73.95%
