arquivo_jsonl,chunk,vizinho,k,modelo,acertos,erros,acuracia
800_0_1_a_llama3,800,0,1,llama3,108,153,41.38%
800_0_1_b_llama3,800,0,1,llama3,97,164,37.16%
800_0_3_a_llama3,800,0,3,llama3,137,124,52.49%
800_0_3_b_llama3,800,0,3,llama3,103,158,39.46%
800_0_5_a_llama3,800,0,5,llama3,134,127,51.34%
800_0_5_b_llama3,800,0,5,llama3,101,160,38.70%
800_0_7_a_llama3,800,0,7,llama3,138,123,52.87%
800_0_7_b_llama3,800,0,7,llama3,114,147,43.68%
800_1_1_a_llama3,800,1,1,llama3,137,124,52.49%
800_1_1_b_llama3,800,1,1,llama3,167,94,63.98%
800_1_3_a_llama3,800,1,3,llama3,163,98,62.45%
800_1_3_b_llama3,800,1,3,llama3,191,70,73.18%
800_1_5_a_llama3,800,1,5,llama3,170,91,65.13%
800_1_5_b_llama3,800,1,5,llama3,201,60,77.01%
800_1_7_a_llama3,800,1,7,llama3,170,91,65.13%
800_1_7_b_llama3,800,1,7,llama3,203,58,77.78%
1000_0_1_a_llama3,1000,0,1,llama3,85,176,32.57%
1000_0_1_b_llama3,1000,0,1,llama3,92,169,35.25%
1000_0_3_a_llama3,1000,0,3,llama3,104,157,39.85%
1000_0_3_b_llama3,1000,0,3,llama3,103,158,39.46%
1000_0_5_a_llama3,1000,0,5,llama3,99,162,37.93%
1000_0_5_b_llama3,1000,0,5,llama3,117,144,44.83%
1000_0_7_a_llama3,1000,0,7,llama3,100,161,38.31%
1000_0_7_b_llama3,1000,0,7,llama3,114,147,43.68%
1000_1_1_a_llama3,1000,1,1,llama3,101,160,38.70%
1000_1_1_b_llama3,1000,1,1,llama3,143,118,54.79%
1000_1_3_a_llama3,1000,1,3,llama3,118,143,45.21%
1000_1_3_b_llama3,1000,1,3,llama3,178,83,68.20%
1000_1_5_a_llama3,1000,1,5,llama3,117,144,44.83%
1000_1_5_b_llama3,1000,1,5,llama3,190,71,72.80%
1000_1_7_a_llama3,1000,1,7,llama3,123,138,47.13%
1000_1_7_b_llama3,1000,1,7,llama3,193,68,73.95%
400_0_1_a_llama4,400,0,1,llama4,131,130,50.19%
400_0_1_b_llama4,400,0,1,llama4,96,165,36.78%
400_0_3_a_llama4,400,0,3,llama4,132,129,50.57%
400_0_3_b_llama4,400,0,3,llama4,105,156,40.23%
400_0_5_a_llama4,400,0,5,llama4,131,130,50.19%
400_0_5_b_llama4,400,0,5,llama4,100,161,38.31%
400_0_7_a_llama4,400,0,7,llama4,121,140,46.36%
400_0_7_b_llama4,400,0,7,llama4,93,168,35.63%
400_1_1_a_llama4,400,1,1,llama4,173,88,66.28%
400_1_1_b_llama4,400,1,1,llama4,148,113,56.70%
400_1_3_a_llama4,400,1,3,llama4,174,87,66.67%
400_1_3_b_llama4,400,1,3,llama4,175,86,67.05%
400_1_5_a_llama4,400,1,5,llama4,121,140,46.36%
400_1_5_b_llama4,400,1,5,llama4,129,132,49.43%
400_1_7_a_llama4,400,1,7,llama4,41,220,15.71%
400_1_7_b_llama4,400,1,7,llama4,46,215,17.62%
600_0_1_a_llama4,600,0,1,llama4,123,138,47.13%
600_0_1_b_llama4,600,0,1,llama4,100,161,38.31%
600_0_3_a_llama4,600,0,3,llama4,131,130,50.19%
600_0_3_b_llama4,600,0,3,llama4,107,154,41.00%
600_0_5_a_llama4,600,0,5,llama4,126,135,48.28%
600_0_5_b_llama4,600,0,5,llama4,105,156,40.23%
600_0_7_a_llama4,600,0,7,llama4,107,154,41.00%
600_0_7_b_llama4,600,0,7,llama4,88,173,33.72%
600_1_1_a_llama4,600,1,1,llama4,156,105,59.77%
600_1_1_b_llama4,600,1,1,llama4,166,95,63.60%
600_1_3_a_llama4,600,1,3,llama4,147,114,56.32%
600_1_3_b_llama4,600,1,3,llama4,187,74,71.65%
600_1_5_a_llama4,600,1,5,llama4,29,232,11.11%
600_1_5_b_llama4,600,1,5,llama4,50,211,19.16%
