arquivo_jsonl,chunk,vizinho,k,modelo,acertos,erros,acuracia
1000_0_1_a_llama3,1000,0,1,llama3,85,176,32.57%
1000_0_1_b_llama3,1000,0,1,llama3,92,169,35.25%
1000_0_3_a_llama3,1000,0,3,llama3,104,157,39.85%
1000_0_3_b_llama3,1000,0,3,llama3,103,158,39.46%
1000_0_5_a_llama3,1000,0,5,llama3,99,162,37.93%
1000_0_5_b_llama3,1000,0,5,llama3,117,144,44.83%
1000_0_7_a_llama3,1000,0,7,llama3,100,161,38.31%
1000_0_7_b_llama3,1000,0,7,llama3,114,147,43.68%
1000_1_1_a_llama3,1000,1,1,llama3,101,160,38.70%
1000_1_1_b_llama3,1000,1,1,llama3,143,118,54.79%
1000_1_3_a_llama3,1000,1,3,llama3,118,143,45.21%
1000_1_3_b_llama3,1000,1,3,llama3,178,83,68.20%
1000_1_5_a_llama3,1000,1,5,llama3,117,144,44.83%
1000_1_5_b_llama3,1000,1,5,llama3,190,71,72.80%
1000_1_7_a_llama3,1000,1,7,llama3,123,138,47.13%
1000_1_7_b_llama3,1000,1,7,llama3,193,68,73.95%
400_0_1_a_llama3,400,0,1,llama3,115,146,44.06%
400_0_1_a_llama4,400,0,1,llama4,131,130,50.19%
400_0_1_b_llama3,400,0,1,llama3,69,192,26.44%
400_0_1_b_llama4,400,0,1,llama4,96,165,36.78%
400_0_3_a_llama3,400,0,3,llama3,109,152,41.76%
400_0_3_a_llama4,400,0,3,llama4,132,129,50.57%
400_0_3_b_llama3,400,0,3,llama3,52,209,19.92%
400_0_3_b_llama4,400,0,3,llama4,105,156,40.23%
400_0_5_a_llama3,400,0,5,llama3,114,147,43.68%
400_0_5_a_llama4,400,0,5,llama4,131,130,50.19%
400_0_5_b_llama3,400,0,5,llama3,72,189,27.59%
400_0_5_b_llama4,400,0,5,llama4,100,161,38.31%
400_0_7_a_llama3,400,0,7,llama3,122,139,46.74%
400_0_7_a_llama4,400,0,7,llama4,121,140,46.36%
400_0_7_b_llama3,400,0,7,llama3,71,190,27.20%
400_0_7_b_llama4,400,0,7,llama4,93,168,35.63%
400_1_1_a_llama3,400,1,1,llama3,165,96,63.22%
400_1_1_a_llama4,400,1,1,llama4,173,88,66.28%
400_1_1_b_llama3,400,1,1,llama3,136,125,52.11%
