arquivo_jsonl,chunk,vizinho,k,modelo,acertos,erros,acuracia
400_0_1_a_llama3,400,0,1,llama3,115,146,44.06%
400_0_1_b_llama3,400,0,1,llama3,69,192,26.44%
400_0_3_a_llama3,400,0,3,llama3,109,152,41.76%
400_0_3_b_llama3,400,0,3,llama3,52,209,19.92%
400_0_5_a_llama3,400,0,5,llama3,114,147,43.68%
400_0_5_b_llama3,400,0,5,llama3,72,189,27.59%
400_0_7_a_llama3,400,0,7,llama3,122,139,46.74%
400_0_7_b_llama3,400,0,7,llama3,71,190,27.20%
400_1_1_a_llama3,400,1,1,llama3,165,96,63.22%
400_1_1_b_llama3,400,1,1,llama3,136,125,52.11%
400_1_3_a_llama3,400,1,3,llama3,179,82,68.58%
400_1_3_b_llama3,400,1,3,llama3,163,98,62.45%
400_1_5_a_llama3,400,1,5,llama3,178,83,68.20%
400_1_5_b_llama3,400,1,5,llama3,170,91,65.13%
400_1_7_a_llama3,400,1,7,llama3,182,79,69.73%
400_1_7_b_llama3,400,1,7,llama3,177,84,67.82%
600_0_1_a_llama3,600,0,1,llama3,117,144,44.83%
600_0_1_b_llama3,600,0,1,llama3,69,192,26.44%
600_0_3_a_llama3,600,0,3,llama3,110,151,42.15%
600_0_3_b_llama3,600,0,3,llama3,52,209,19.92%
600_0_5_a_llama3,600,0,5,llama3,116,145,44.44%
600_0_5_b_llama3,600,0,5,llama3,68,193,26.05%
600_0_7_a_llama3,600,0,7,llama3,121,140,46.36%
600_0_7_b_llama3,600,0,7,llama3,74,187,28.35%
600_1_1_a_llama3,600,1,1,llama3,165,96,63.22%
600_1_1_b_llama3,600,1,1,llama3,136,125,52.11%
600_1_3_a_llama3,600,1,3,llama3,179,82,68.58%
600_1_3_b_llama3,600,1,3,llama3,163,98,62.45%
600_1_5_a_llama3,600,1,5,llama3,178,83,68.20%
600_1_5_b_llama3,600,1,5,llama3,170,91,65.13%
600_1_7_a_llama3,600,1,7,llama3,182,79,69.73%
